"Installed electricity capacity by country/area (MW) by Country/area, Technology, Grid connection and Year"

"Country/area","Technology","Grid connection","Year",Installed electricity capacity by country/area (MW)
"Afghanistan","Solar photovoltaic","On-grid","2020",11.700
"Afghanistan","Solar photovoltaic","Off-grid","2020",19.045
"Afghanistan","Solar thermal energy","On-grid","2020",..
"Afghanistan","Solar thermal energy","Off-grid","2020",..
"Afghanistan","Onshore wind energy","On-grid","2020",0.300
"Afghanistan","Onshore wind energy","Off-grid","2020",0.100
"Afghanistan","Offshore wind energy","On-grid","2020",..
"Afghanistan","Offshore wind energy","Off-grid","2020",..
"Afghanistan","Renewable hydropower","On-grid","2020",295.000
"Afghanistan","Renewable hydropower","Off-grid","2020",37.993
"Afghanistan","Mixed Hydro Plants","On-grid","2020",..
"Afghanistan","Mixed Hydro Plants","Off-grid","2020",..
"Afghanistan","Pumped storage","On-grid","2020",..
"Afghanistan","Pumped storage","Off-grid","2020",..
"Afghanistan","Marine energy","On-grid","2020",..
"Afghanistan","Marine energy","Off-grid","2020",..
"Afghanistan","Solid biofuels","On-grid","2020",..
"Afghanistan","Solid biofuels","Off-grid","2020",..
"Afghanistan","Renewable municipal waste","On-grid","2020",..
"Afghanistan","Renewable municipal waste","Off-grid","2020",..
"Afghanistan","Liquid biofuels","On-grid","2020",..
"Afghanistan","Liquid biofuels","Off-grid","2020",..
"Afghanistan","Biogas","On-grid","2020",..
"Afghanistan","Biogas","Off-grid","2020",..
"Afghanistan","Geothermal energy","On-grid","2020",..
"Afghanistan","Geothermal energy","Off-grid","2020",..
"Afghanistan","Coal and peat","On-grid","2020",..
"Afghanistan","Coal and peat","Off-grid","2020",..
"Afghanistan","Oil","On-grid","2020",139.184
"Afghanistan","Oil","Off-grid","2020",..
"Afghanistan","Natural gas","On-grid","2020",40.000
"Afghanistan","Natural gas","Off-grid","2020",..
"Afghanistan","Fossil fuels n.e.s.","On-grid","2020",..
"Afghanistan","Fossil fuels n.e.s.","Off-grid","2020",97.477
"Afghanistan","Nuclear","On-grid","2020",..
"Afghanistan","Nuclear","Off-grid","2020",..
"Afghanistan","Other non-renewable energy","On-grid","2020",..
"Afghanistan","Other non-renewable energy","Off-grid","2020",..
"Albania","Solar photovoltaic","On-grid","2020",16.850
"Albania","Solar photovoltaic","Off-grid","2020",..
"Albania","Solar thermal energy","On-grid","2020",..
"Albania","Solar thermal energy","Off-grid","2020",..
"Albania","Onshore wind energy","On-grid","2020",..
"Albania","Onshore wind energy","Off-grid","2020",..
"Albania","Offshore wind energy","On-grid","2020",..
"Albania","Offshore wind energy","Off-grid","2020",..
"Albania","Renewable hydropower","On-grid","2020",2289.000
"Albania","Renewable hydropower","Off-grid","2020",..
"Albania","Mixed Hydro Plants","On-grid","2020",..
"Albania","Mixed Hydro Plants","Off-grid","2020",..
"Albania","Pumped storage","On-grid","2020",..
"Albania","Pumped storage","Off-grid","2020",..
"Albania","Marine energy","On-grid","2020",..
"Albania","Marine energy","Off-grid","2020",..
