# SPDX-FileCopyrightText:  PyPSA-Earth and PyPSA-Eur Authors
#
# SPDX-License-Identifier: AGPL-3.0-or-later
name;description;license;url;code line;
airports;Location of airports worldwide;;https://davidmegginson.github.io/ourairports-data/airports.csv;[prepare_airports:download_airports](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/prepare_airports.py#L19);
air_runways;Location and length of runways;;https://davidmegginson.github.io/ourairports-data/runways.csv;[prepare_airports:download_airports](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/prepare_airports.py#L19);
edgar;Emission database;;https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/EDGAR/datasets/v60_GHG/CO2_excl_short-cycle_org_C/v60_GHG_CO2_excl_short-cycle_org_C_1970_2018.zip;[prepare_network:download_emission_data](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/prepare_network.py#L82);
gadm;Geographic administrative regions;;https://geodata.ucdavis.edu/gadm/gadm4.1/gpkg/{GADM_filename}.gpkg;[build_shapes:download_GADM](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/build_shapes.py#L71);
worldpop_maxar;Global population raster in high resolution;;https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/{two_2_three_digits_country(country_code).upper()}/{WorldPop_filename};[build_shapes:download_WorldPop_standard](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/build_shapes.py#L448C5-L448C31);
worldpop;Global population raster in standard resolution;;https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/{two_2_three_digits_country(country_code).upper()}/{WorldPop_filename};[build_shapes:download_WorldPop_standard](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/build_shapes.py#L448C5-L448C31);
steel_gem;Location and capacity of steel-making plants;;https://globalenergymonitor.org/wp-content/uploads/2023/03/Global-Steel-Plant-Tracker-2023-03.xlsx;[build_industrial_database:create_steel_db](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/build_industrial_database.py#L67);
pipelines_gem;Location and length of gas pipelines;;https://globalenergymonitor.org/wp-content/uploads/2022/12/GEM-GGIT-Gas-Pipelines-December-2022.xlsx;[prepare_gas_network:download_GGIT_gas_network](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/prepare_gas_network.py#L81);
refineries;Location and capacity of oil refineries;;https://services.arcgis.com/jDGuO8tYggdCCnUJ/arcgis/rest/services/Global_Oil_Refinery_Complex_and_Daily_Capacity/FeatureServer/0/query?f=json&where=1%3D1&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&orderByFields=FID%20ASC&resultOffset=0&resultRecordCount=537&cacheHint=true&quantizationParameters=%7B%22mode%22%3A%22edit%22%7D;[build_industrial_database:create_refineries_df](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/build_industrial_database.py#L301);
n_vehicles_who;Number of vehicles by country;;https://apps.who.int/gho/athena/data/GHO/RS_194?filter=COUNTRY:*&ead=&x-sideaxis=COUNTRY;YEAR;DATASOURCE&x-topaxis=GHO&profile=crosstable&format=csv;[prepare_transport_data_input:download_number_of_vehicles](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/prepare_transport_data_input.py#L37
vehicles_per_capita_wiki;Number of vehicles per capita;;https://en.wikipedia.org/wiki/List_of_countries_and_territories_by_motor_vehicles_per_capita;[prepare_transport_data_input:download_number_of_vehicles](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/prepare_transport_data_input.py#L37);
transport_emission_worldbank;CO2 emissions from transport (% of total fuel combustion);;https://web.archive.org/web/20240521093243if_/https://api.worldbank.org/v2/en/indicator/EN.CO2.TRAN.ZS?downloadformat=excel;[prepare_transport_data_input:download_CO2_emissions](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/prepare_transport_data_input.py#L115);
global_buildings_microsoft;Global dataset of buildings;;https://minedbuildings.z5.web.core.windows.net/global-buildings/dataset-links.csv;[download_global_buildings:download_global_buildings_url](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/download_global_buildings.py#L27);
pop_total_un;Percentage of global population;;https://unctadstat-api.unctad.org/api/reportMetadata/US.PopTotal/bulkfile/355/en;[prepare_urban_percent:download_urban_percent](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/prepare_urban_percent.py#L18);
sea_ports_nga;Location and capacity of sea ports;;https://msi.nga.mil/api/publications/download?type=view&key=16920959/SFH00000/UpdatedPub150.csv;[prepare_ports:download_ports](https://github.com/pypsa-meets-earth/pypsa-earth/blob/2a23ebe75f3763c14d85ea624bcf12df5e4c7b06/scripts/prepare_ports.py#L21);
