year,sector,subsector,limit_tco2_per_year
2030,power_and_heat_generation,,inf
2030,power_and_heat_generation,power,inf
2030,power_and_heat_generation,heat,inf
2030,power_and_heat_generation,chp,inf
2030,transport,,inf
2030,transport,road_transport,inf
2030,transport,non_road_rail,inf
2030,transport,non_road_aviation,inf
2030,transport,non_road_shipping,inf
2030,industry,,inf
2030,residential,,inf
2030,services,,inf
2030,agriculture,,inf
2030,hydrogen,,inf
2030,hydrogen,grid_h2,inf
2030,hydrogen,green_h2,inf
2030,hydrogen,grey_h2,inf
2030,hydrogen,blue_h2,inf
