year,country,sector,subsector,limit_tco2_per_year
2020,US,power_and_heat_generation,,inf
2020,US,power_and_heat_generation,power,inf
2020,US,power_and_heat_generation,heat,inf
2020,US,power_and_heat_generation,chp,inf
2020,US,transport,,inf
2020,US,transport,road_transport,inf
2020,US,transport,non_road_rail,inf
2020,US,transport,non_road_aviation,inf
2020,US,transport,non_road_shipping,inf
2020,US,industry,,inf
2020,US,industry_process_emissions,,inf
2020,US,residential,,inf
2020,US,services,,inf
2020,US,agriculture,,inf
2020,US,hydrogen,,inf
2020,US,hydrogen,grid_h2,inf
2020,US,hydrogen,green_h2,inf
2020,US,hydrogen,grey_h2,inf
2020,US,hydrogen,blue_h2,inf
