complete_name,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,projectID,GCPT,GGPT,GEO,GPD,GCPT_len,GCPT_technology,GCPT_coal_type,GCPT_emission_factor,Captive,GPD_len,GPD_source,GPD_url,GEO_len,GEO_technology,GEO_fueltype,TODO
Pagbilao 1155 2041,Pagbilao,Hard Coal subcritical,subcritical,PP,PH,1155.0,,"{'GCPT': {'G107723', 'G107722', 'G107724'}, 'GGPT': {'L405343'}, 'GEO': {'GEO-41686'}, 'GPD': {'WRI1001869'}}","['G107724', 'G107722', 'G107723']",{'L405343'},['GEO-41686'],['WRI1001869'],3,subcritical,subbituminous,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,1,subcritical,"bituminous, low-sulfur and low-ash content coal",
Glow Energy Complex 529 2044,Glow Energy Complex,Hard Coal subcritical,subcritical,CHP,TH,529.0,,"{'GCPT': {'G103060', 'G103058', 'G103059'}, 'GGPT': {'L103583'}, 'GEO': {'GEO-45304'}, 'GPD': {'WRI1019457'}}","['G103058', 'G103060', 'G103059']",{'L103583'},['GEO-45304'],['WRI1019457'],3,subcritical,bituminous,94600.0,,1,Glow Group,http://www.glow.co.th/index.php?op=product_business_line_plants-detail&cid=1&id=15,1,CHP,Coal,
Banten Lontar 1260 2056,Banten Lontar,Hard Coal subcritical,subcritical,PP,ID,1260.0,,"{'GCPT': {'G100533', 'G100535', 'G100534', 'G100532'}, 'GEO': {'GEO-44938'}, 'GPD': {'WRI1000914', 'WRI1000916'}}","['G100535', 'G100533', 'G100534', 'G100532']",,['GEO-44938'],"['WRI1000916', 'WRI1000914']",4,subcritical,unknown,96100.0,,2,Indonesia Power Generation,https://repit.wordpress.com/,1,subcritical,Coal,
Indramayu 990 2055,Indramayu,Hard Coal subcritical,subcritical,PP,ID,990.0,,"{'GCPT': {'G104854', 'G104853', 'G104852'}, 'GEO': {'GEO-41523'}, 'GPD': {'WRI1000939'}}","['G104852', 'G104854', 'G104853']",,['GEO-41523'],['WRI1000939'],3,subcritical,subbituminous,96100.0,,1,Indonesia Power Generation,https://repit.wordpress.com/,1,subcritical,Sub-bituminous Coal,
Ombilin 200 2041,Ombilin,Hard Coal subcritical,subcritical,PP,ID,200.0,,"{'GCPT': {'G107624', 'G107625'}, 'GEO': {'GEO-41522'}, 'GPD': {'WRI1000960'}}","['G107624', 'G107625']",,['GEO-41522'],['WRI1000960'],2,subcritical,subbituminous,96100.0,,1,Indonesia Power Generation,https://repit.wordpress.com/,1,subcritical,Sub-bituminous Coal,
Pacitan 630 2056,Pacitan,Hard Coal subcritical,subcritical,PP,ID,630.0,,"{'GCPT': {'G107720', 'G107721'}, 'GEO': {'GEO-43060'}, 'GPD': {'WRI1075812'}}","['G107720', 'G107721']",,['GEO-43060'],['WRI1075812'],2,subcritical,subbituminous,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,1,subcritical,Coal Sub-bituminous,
Paiton 4835 2038,Paiton,Hard Coal subcritical,subcritical,PP,ID,4835.0,,"{'GCPT': {'G108040', 'G107733', 'G107732', 'G107731', 'G108041', 'G107729', 'G107734', 'G107730'}, 'GEO': {'GEO-43059', 'GEO-44936', 'GEO-41519'}, 'GPD': {'WRI1000941'}}","['G107729', 'G107730', 'G108040', 'G107732', 'G108041', 'G107733', 'G107731', 'G107734']",,"['GEO-43059', 'GEO-41519', 'GEO-44936']",['WRI1000941'],8,subcritical,subbituminous,96100.0,,1,Indonesia Power Generation,https://repit.wordpress.com/,3,subcritical,Coal Sub-bituminous,
Pelabuhan Ratu 1050 2058,Pelabuhan Ratu,Hard Coal subcritical,subcritical,PP,ID,1050.0,,"{'GCPT': {'G107917', 'G107919', 'G107918'}, 'GEO': {'GEO-44713'}, 'GPD': {'WRI1000938'}}","['G107919', 'G107917', 'G107918']",,['GEO-44713'],['WRI1000938'],3,subcritical,unknown,96100.0,,1,Indonesia Power Generation,https://repit.wordpress.com/,1,subcritical,Coal Subbutiminous,
Rembang 630 2056,Rembang,Hard Coal subcritical,subcritical,PP,ID,630.0,,"{'GCPT': {'G108527', 'G108526'}, 'GEO': {'GEO-44714'}, 'GPD': {'WRI1000940'}}","['G108527', 'G108526']",,['GEO-44714'],['WRI1000940'],2,subcritical,subbituminous,96100.0,,1,Indonesia Power Generation,https://repit.wordpress.com/,1,subcritical,Coal Subbutiminous,
Tanjung Awar 700 2057,Tanjung Awar,Hard Coal subcritical,subcritical,PP,ID,700.0,,"{'GCPT': {'G109946', 'G109947'}, 'GEO': {'GEO-44937'}, 'GPD': {'WRI1075817'}}","['G109946', 'G109947']",,['GEO-44937'],['WRI1075817'],2,subcritical,subbituminous,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,1,subcritical,Coal subbutiminous,
