,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
1,Victoria Falls,Hydro,Run-Of-River,PP,ZM,108,,,0,0,0,1936,1936,2036,-17.9305,25.8598,,,
2,Zilo,Hydro,Reservoir,PP,CD,110,,,0,0,0,1952,1952,2052,-10.4998,25.4631,,,
3,Mwadingusha,Hydro,Reservoir,PP,CD,68,,,0,0,0,1928,1928,2028,-10.7452,27.2447,,,
4,Mtera,Hydro,Reservoir,PP,TZ,80,,,0,0,0,1980,1980,2080,-7.1386,35.9888,,,
5,Kihansi,Hydro,Run-Of-River,PP,TZ,180,,,0,0,0,1999,1999,2099,-8.5751,35.8512,,,
6,Kidatu,Hydro,Reservoir,PP,TZ,204,,,0,0,0,1975,1975,2075,-7.6367,36.8866,,,
7,Tedzani Falls,Hydro,Reservoir,PP,MW,129.8,,,0,0,0,1972,2007,2107,-15.5598,34.7765,,,
8,Nkula,Hydro,Reservoir,PP,MW,136,,,0,0,0,1966,1966,2066,-15.5269,34.8192,,,
9,Kapichira,Hydro,Reservoir,PP,MW,128.8,,,0,0,0,2000,2000,2100,-15.8954,34.7531,,,
10,Kariba Dam,Hydro,Reservoir,PP,ZM,1080,,,0,0,0,1959,1959,2059,-16.5225,28.7621,,,
11,Kafue Gorge Upper,Hydro,Reservoir,PP,ZM,990,,,0,0,0,1971,1971,2071,-15.8067,28.4216,,,
12,Itezhi Tezhi,Hydro,Reservoir,PP,ZM,120,,,0,0,0,1977,1977,2077,-15.7601,26.0213,,,
13,Capanda,Hydro,Reservoir,PP,AO,520,,,0,0,0,1999,1999,2099,-9.7933,15.4635,,,
14,Ruacana,Hydro,Reservoir,PP,NA,347.2,,,0,0,0,1978,1978,2078,-17.3859,14.2161,,,
15,Vanderkloof,Hydro,Reservoir,PP,ZA,240,,,0,0,0,1976,1976,2076,-29.9911,24.7317,,,
16,Palmiet,Hydro,Pumped Storage,Store,ZA,400,,,0,0,0,1988,1988,2088,-34.1985,18.9746,,,
17,Gariep,Hydro,Reservoir,PP,ZA,360,,,0,0,0,1971,1971,2071,-30.6233,25.5067,,,
18,Drakensberg,Hydro,Pumped Storage,Store,ZA,1000,,,0,0,0,1981,1981,2081,-28.566,29.0834,,,
19,Zongo,Hydro,Run-Of-River,PP,CD,225,,,0,0,0,1955,1955,2055,-4.7823,14.90445,,,
20,Maamba,Hard Coal,Steam Turbine,PP,ZM,300,,,0,0,0,2016,2016,2061,-17.352722,27.18594,,,
21,Majuba,Hard Coal,Steam Turbine,PP,ZA,4143,,,0,0,0,1996,1996,2051,-27.10061,29.770963,,,
22,Cahora Bassa,Hydro,Reservoir,PP,MZ,2075,,,0,0,0,1974,1974,2074,-15.5859,32.7047,,,
23,Cambambe,Hydro,Run-Of-River,PP,AO,960,,,0,0,0,1962,1962,2062,-9.7443,14.48365,,,
24,Corumana Mozambique,Hydro,Reservoir,PP,MZ,16.6,,,0,0,0,1987,1987,2087,-25.21854,32.13417,,,
25,Chicamba Mozambique,Hydro,Reservoir,PP,MZ,48,,,0,0,0,1959,1959,2059,-19.1557,33.145,,,
26,Biopio Dam Angola,Hydro,,PP,AO,14.4,,,0,0,0,1956,1956,2056,-12.4708,13.7319,,,
27,Seke,Hydro,Reservoir,PP,CD,248,,,0,0,0,1956,1956,2056,-10.3046,25.4059,,,
28,Inga,Hydro,Reservoir,PP,CD,1775,,,0,0,0,1972,1972,2072,-5.5218,13.6213,,,
29,Steenbras,Hydro,Pumped Storage,Store,ZA,160,,,0,0,0,1979,1979,2079,-34.152,18.8982,,,
30,Ingula,Hydro,Pumped Storage,Store,ZA,1332,,,0,0,0,2016,2016,2116,-28.2809,29.588,,,
31,Kusile,Hard Coal,Steam Turbine,PP,ZA,4800,,,0,0,0,2018,2018,2071,-25.92007,28.924942,,,
32,Ruzizi 2,Hydro,Run-Of-River,PP,CD,28.2,,,0,0,0,1958,1958,2058,-2.63344,28.90266,,,
33,Koni Democratic Republic Of The Congo,Hydro,Reservoir,PP,CD,42.12,,,0,0,0,1950,1950,2050,-10.7184,27.2839,,,
34,Maguga Swaziland,Hydro,Reservoir,PP,SZ,19.8,,,0,0,0,2007,2007,2107,-26.0785,31.2616,,,
35,Edwaleni Hydropower Swaziland,Hydro,,PP,SZ,15,,,0,0,0,1964,1964,2064,-26.5895,31.324,,,
36,Pangani Falls Tanzania,Hydro,Reservoir,PP,TZ,68,,,0,0,0,1995,1995,2095,-5.349,38.651,,,
37,Nyumba Ya Mungu Dam Tanzania,Hydro,,PP,TZ,8,,,0,0,0,1966,1966,2066,-3.826,37.47,,,
38,Hale Tanzania,Hydro,Reservoir,PP,TZ,21,,,0,0,0,1964,1964,2064,-5.298,38.604,,,
39,Katse Muela Scheme Lesotho,Hydro,Reservoir,PP,LS,80,,,0,0,0,1998,1998,2098,-30.28,27.78,,,
40,Lusiwasi Zambia,Hydro,Reservoir,PP,ZM,12,,,0,0,0,1967,1967,2067,-12.9884,30.8649,,,
41,Matala Dam Angola,Hydro,,PP,AO,40.8,,,0,0,0,1954,1954,2054,-14.74424,15.04183,,,
42,Central Caminho De Ferro De Luanda Cfl,CCGT,CCGT,PP,AO,125,,,0,0,0,2017.5,2017.5,2057.5,-8.82779,13.27575,,,
43,Chicapa Dam Angola,Hydro,Run-Of-River,PP,AO,34,,,0,0,0,1988,1988,2088,-9.488574,20.350402,,,
44,Collywobbles Sa,Hydro,Run-Of-River,PP,ZA,31.05548525,,,0,0,0,1985,1985,2085,-32.00014236,28.58187675,,,
45,Cunje Dam Angola,Hydro,,PP,AO,0,,,0,0,0,1979.363636,1979.363636,2079.363636,-11.95412,17.44527,,,
46,Ezulwini Swaziland,Hydro,Reservoir,PP,SZ,20,,,0,0,0,1988,1988,2088,-26.3763,31.1552,,,
47,First Falls,Hydro,Run-Of-River,PP,ZA,10,,,0,0,0,1988,1988,2088,-31.60028643,28.81709576,,,
48,Friedenheim Hydro Pp,Hydro,,PP,ZA,6,,,0,0,0,1987,1987,2087,-25.4514,30.9816,,,
49,Gove Dam Angola,Hydro,,PP,AO,60,,,0,0,0,1978,1978,2078,-13.45165,15.8694,,,
50,Kariba Dam South Zimbabwe,Hydro,Reservoir,PP,ZW,1050,,,0,0,0,1960,1960,2060,-16.5222,28.7619,,,
51,Lomaum Dam Angola,Hydro,Reservoir,PP,AO,50,,,0,0,0,1964,1964,2064,-12.725376,14.385598,,,
52,Mabubas Dam Angola,Hydro,Reservoir,PP,AO,25.6,,,0,0,0,1954,1954,2054,-8.53523,13.70009,,,
53,Maguduza Swaziland,Hydro,Run-Of-River,PP,SZ,5.6,,,0,0,0,1970,1970,2070,-26.6151,31.35309,,,
54,Mavuzi Mozambique,Hydro,Run-Of-River,PP,MZ,49,,,0,0,0,1957,1957,2057,-19.526,33.493,,,
55,Mbabane Swaziland,Hydro,,PP,SZ,23.1,,,0,0,0,1957,1957,2057,-26.35296,31.15386,,,
56,Mita Hills Dam Zambia,Hydro,,PP,ZM,0,,,0,0,0,1966.142857,1966.142857,2066.142857,-14.2360986,29.11969185,,,
57,Mulungushi Dam Zambia,Hydro,Reservoir,PP,ZM,24,,,0,0,0,1932,1932,2032,-14.73887,28.84228,,,
58,Ncora Sa,Hydro,Run-Of-River,PP,ZA,2.1,,,0,0,0,1988,1988,2088,-31.78739056,27.6777792,,,
59,Orapa Ocgt Botswana,Oil,Steam Turbine,PP,BW,83.37019459,,,0,0,0,2011,2011,2051,-21.3156,25.4158,,,
60,Ruzizi 1,Hydro,,PP,CD,28,,,0,0,0,1958,1958,2058,-2.509005,28.87528,,,
61,Second Falls Sa,Hydro,Run-Of-River,PP,ZA,17.7,,,0,0,0,1988,1988,2088,-31.68488421,28.8832283,,,
62,Tanesco Ocgt Ubungo Tanzania,CCGT,CCGT,PP,TZ,88.9409395,,,0,0,0,2012,2012,2052,-6.7933,39.2054,,,
63,Tundavala Dam Angola,Hydro,,PP,AO,0,,,0,0,0,1975,1975,2075,-14.843,13.4346,,,
64,Bethlehem Hydro,Hydro,,PP,ZA,15,,,0,0,0,2009,2009,2109,-28.217,28.3631,,,
65,Grahamstown,Bioenergy,,PP,ZA,3.5,,,0,0,0,2013,2013,,-33.315,26.4908,,,
