country,production[ktons/a],Year,source
CN,36000,2019,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
IN,3700,2019,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
RU,3600,2019,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
CA,2900,2019,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
AE,2700,2019,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
AU,1580,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
BH,1400,2019,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
NO,1300,2019,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
US,1100,2019,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
SA,932,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
IS,850,2019,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
MY,760,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
ZA,714,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
BR,659,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
QA,616,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
MZ,571,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
DE,529,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
AR,438,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
FR,380,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
OM,380,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
IR,370,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
ES,350,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
NZ,340,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
EG,317,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
RO,283,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
KZ,258,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
ID,242,2018,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
SK,212,2019,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
GR,184,2019,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
SE,126,2019,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
VE,108,2019,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
NG,0,2019,no available information online assumed value of 0
BJ,0,2019,no available information online assumed value of 0
AF,0,2019,no available information online assumed value of 0
AL,0,2019,no available information online assumed value of 0
DZ,0,2019,no available information online assumed value of 0
AS,0,2019,no available information online assumed value of 0
AD,0,2019,no available information online assumed value of 0
AO,0,2019,no available information online assumed value of 0
AI,0,2019,no available information online assumed value of 0
AQ,0,2019,no available information online assumed value of 0
AG,0,2019,no available information online assumed value of 0
AM,0,2019,no available information online assumed value of 0
AW,0,2019,no available information online assumed value of 0
AT,0,2019,no available information online assumed value of 0
AZ,0,2019,no available information online assumed value of 0
BS,0,2019,no available information online assumed value of 0
BD,0,2019,no available information online assumed value of 0
BB,0,2019,no available information online assumed value of 0
BY,0,2019,no available information online assumed value of 0
BE,0,2019,no available information online assumed value of 0
BZ,0,2019,no available information online assumed value of 0
BM,0,2019,no available information online assumed value of 0
BT,0,2019,no available information online assumed value of 0
BO,0,2019,no available information online assumed value of 0
BA,0,2019,no available information online assumed value of 0
BW,0,2019,no available information online assumed value of 0
BV,0,2019,no available information online assumed value of 0
IO,0,2019,no available information online assumed value of 0
BN,0,2019,no available information online assumed value of 0
BG,0,2019,no available information online assumed value of 0
BF,0,2019,no available information online assumed value of 0
BI,0,2019,no available information online assumed value of 0
CV,0,2019,no available information online assumed value of 0
KH,0,2019,no available information online assumed value of 0
CM,0,2019,no available information online assumed value of 0
KY,0,2019,no available information online assumed value of 0
CF,0,2019,no available information online assumed value of 0
TD,0,2019,no available information online assumed value of 0
CL,0,2019,no available information online assumed value of 0
CX,0,2019,no available information online assumed value of 0
CC,0,2019,no available information online assumed value of 0
CO,0,2019,no available information online assumed value of 0
KM,0,2019,no available information online assumed value of 0
CG,0,2019,no available information online assumed value of 0
CD,0,2019,no available information online assumed value of 0
CK,0,2019,no available information online assumed value of 0
CR,0,2019,no available information online assumed value of 0
CI,0,2019,no available information online assumed value of 0
HR,0,2019,no available information online assumed value of 0
CU,0,2019,no available information online assumed value of 0
CW,0,2019,no available information online assumed value of 0
CY,0,2019,no available information online assumed value of 0
CZ,0,2019,no available information online assumed value of 0
