name,country,fraction,y,x,source,disaggregation metric
Casablanca-Mohammed V,MA,0.428393181,33.373831,-7.579726,,
Marrakesh,MA,0.265873634,31.60416425,-8.035166526,,
Agadir,MA,0.083484208,30.325,-9.413056,,
Fez,MA,0.05893589,33.927222,-4.978056,,
Tangiers,MA,0.056274782,35.179557,-3.839891,,
Rabat,MA,0.045757958,34.051389,-6.751389,,
Nador,MA,0.032104508,34.988889,-3.028333,,
Oujda,MA,0.029175839,34.787222,-1.923889,,
Dummy Airport1,NG,0.7,11.423,6.032,,
Dummy Airport2,NG,0.3,8.34321,9.143,,
Dummy Airport1,BJ,0.7,10.23,2.32,,
Dummy Airport2,BJ,0.3,7.3,2.24,,
Hosea Kutako International Airport,NA,0.341798216,-22.4799,17.4709,http://www.airports.com.na/files/files/Annual%20report.pdf, Disaggregated from total aircraft movement of 14940 in 2015
Eros Airport,NA,0.398055214,-22.6122,17.0804,http://www.airports.com.na/files/files/Annual%20report.pdf, Disaggregated from total aircraft movement of 17807 in 2015
Walvis Bay Airport,NA,0.108058567,-22.979,14.6453,http://www.airports.com.na/files/files/Annual%20report.pdf, Disaggregated from total aircraft movement of 4834 in 2015
Rundu Airport,NA,0.026578741,-17.9565,19.7194,http://www.airports.com.na/files/files/Annual%20report.pdf, Disaggregated from total aircraft movement of 1189 in 2015
Andimba Toivo ya Toivo Airport,NA,0.054722253,-17.5847,15.9526,http://www.airports.com.na/files/files/Annual%20report.pdf, Disaggregated from total aircraft movement of 2448 in 2015
Luderitz Airport,NA,0.024969263,-26.687,15.2429,http://www.airports.com.na/files/files/Annual%20report.pdf, Disaggregated from total aircraft movement of 1117 in 2015
Katima Mulilo Airport,NA,0.030736560,-17.6343,24.1767,http://www.airports.com.na/files/files/Annual%20report.pdf, Disaggregated from total aircraft movement of 1375 in 2015
Keetmanshoop Airport,NA,0.022912708,-26.5398,18.1114,http://www.airports.com.na/files/files/Annual%20report.pdf, Disaggregated from total aircraft movement of 1025 in 2015
Dummy Airport1,BR,0.7,-22.9068,-43.1729,,
Dummy Airport2,BR,0.3,-15.7975,-47.8919,,
Dummy Airport3,AE,1,24.4539,54.3773,,
