Generator,p_nom_max,annualcostEuroPMW,fixedomEuroPKW,installedcapacity,lifetime
TR.11_1_AC,1,280787.0,40.0,0.0,30.0
TR.12_1_AC,1,280787.0,40.0,0.0,30.0
TR.13_1_AC,1,280787.0,40.0,0.0,30.0
TR.14_1_AC,1,280787.0,40.0,0.0,30.0
TR.15_1_AC,1,280787.0,40.0,0.0,30.0
TR.16_1_AC,1,280787.0,40.0,0.0,30.0
TR.17_1_AC,1,280787.5,40.0,0.0,30.0
TR.1_1_AC,1,280787.0,40.0,0.0,30.0
TR.20_1_AC,1,280787.0,40.0,0.0,30.0
TR.21_1_AC,1,280787.0,40.0,0.0,30.0
TR.22_1_AC,1,280787.6666666667,40.0,0.0,30.0
TR.25_1_AC,61,280787.5,40.0,0.0,30.0
TR.28_1_AC,1,280787.5,40.0,0.0,30.0
TR.2_1_AC,1,280787.5,40.0,0.0,30.0
TR.33_1_AC,1,280787.5,40.0,0.0,30.0
TR.37_1_AC,1,280787.0,40.0,0.0,30.0
TR.39_1_AC,1,280787.0,40.0,0.0,30.0
TR.3_1_AC,1,280787.5,40.0,0.0,30.0
TR.41_1_AC,3000,280787.3333333333,40.0,0.0,30.0
TR.44_1_AC,14141.53,280787.0,40.0,0.0,30.0
TR.47_1_AC,41.073,280787.6666666667,40.0,0.0,30.0
TR.48_1_AC,7711.72,280787.0,40.0,0.0,30.0
TR.4_1_AC,27353.9163,280787.25,40.0,0.0,30.0
TR.52_1_AC,444.75,280787.0,40.0,0.0,30.0
TR.53_1_AC,4152.0,282787.0,40.0,0.0,30.0
TR.56_1_AC,7741.623,280787.5,40.0,0.0,30.0
TR.58_1_AC,44774.745,282786.5,40.0,0.0,30.0
TR.5_1_AC,35943.018,280787.3333333333,40.0,0.0,30.0
TR.62_1_AC,3736.0,280787.0,40.0,0.0,30.0
TR.63_1_AC,1484,280787.5,40.0,0.0,30.0
TR.64_1_AC,1213.72,280787.0,40.0,0.0,30.0
TR.68_1_AC,22040.3,282804.0,40.0,0.0,30.0
TR.6_1_AC,12585,280787.75,40.0,0.0,30.0
TR.79_1_AC,7.1891,280787.0,40.0,0.0,30.0
TR.8_1_AC,444.27,280787.0,40.0,0.0,30.0
