name,bus0,bus1,carrier,s_nom,length,investment_cost,underwater_fraction
US0 0_AC|US0 46_AC,US0 0_AC,US0 46_AC,AC,9392.247,213.17317640000002,367465.84559999994,0.0
US0 0_AC|US0 66_AC,US0 0_AC,US0 66_AC,AC,14818.612,264.1892544,433942.56090000004,0.0
US0 46_AC|US0 56_AC,US0 46_AC,US0 56_AC,AC,796.505,276.0500902,377674.68570000003,0.0
US0 46_AC|US0 66_AC,US0 46_AC,US0 66_AC,AC,10522.277,116.78980379999999,173018.39279999997,0.0
US0 46_AC|US0 77_AC,US0 46_AC,US0 77_AC,AC,23673.977,243.4287684,445782.7008,0.0
US0 40_AC|US0 46_AC,US0 40_AC,US0 46_AC,AC,3320.471,287.5729646,407324.31539999996,0.0
US0 56_AC|US0 66_AC,US0 56_AC,US0 66_AC,AC,4073.454,158.1498418,207157.1412,0.0
US0 56_AC|US0 77_AC,US0 56_AC,US0 77_AC,AC,352.0,538.7104716,793405.0425,0.0
US0 40_AC|US0 56_AC,US0 40_AC,US0 56_AC,AC,1773.938,160.9661868,249304.99769999998,0.0
US0 43_AC|US0 56_AC,US0 43_AC,US0 56_AC,AC,1905.3,311.0693286,541066.8525,0.0
US0 77_AC|US0 88_AC,US0 77_AC,US0 88_AC,AC,8904.33,443.131769,665760.5748,0.0
US0 77_AC|US0 99_AC,US0 77_AC,US0 99_AC,AC,4138.304,515.0531736,880977.6231,0.0
US0 40_AC|US0 77_AC,US0 40_AC,US0 77_AC,AC,573.7,481.5628082,747218.2104,0.0
US0 41_AC|US0 77_AC,US0 41_AC,US0 77_AC,AC,3800.762,669.3566928,969522.9615000001,0.0
US0 88_AC|US0 99_AC,US0 88_AC,US0 99_AC,AC,3117.7,567.775152,842440.6529999999,0.0
US0 88_AC|US0 110_AC,US0 88_AC,US0 110_AC,AC,488.117,148.7352028,242598.2259,0.0
US0 88_AC|US0 121_AC,US0 88_AC,US0 121_AC,AC,4800.0,676.0676406,1627013.4837,0.0
