country,type,v_nom,r_per_length,x_per_length,c_per_length,i_nom,f_nom,samples
JP,JP_66kV,66,0.12,0.4,10.1859163578813,0.6,50,
JP,JP_77kV,77,0.1,0.395,10.504226244065093,0.7,50,
JP,JP_100kV,100,0.055,0.385,10.981691073340777,0.9,50,
JP,JP_110kV,110,0.055,0.385,10.981691073340777,0.9,50,
JP,JP_132kV,132,0.045,0.37,11.300000959524567,1.2,50,
JP,JP_154kV,154,0.05,0.38,11.140846016432674,1.0,50,
JP,JP_187kV,187,0.038,0.35,11.61831084570836,1.5,50,
JP,JP_220kV,220,0.032,0.335,11.93662073189215,1.8,50,
JP,JP_275kV,275,0.028,0.325,12.254930618075942,2.0,50,
JP,JP_500kV,500,0.012,0.29,13.050705333535417,4.0,50,
US,US_69kV,69,0.122199630382397,0.306720482711845,17.2314306982759,0.508904976407435,60,9710
US,US_100kV,100,0.0973454875015061,0.416641811818977,12.6537065740267,0.760601244630413,60,13695
US,US_115kV,115,0.0759416995076136,0.350453382947734,15.1019269744374,0.809846712373726,60,7891
US,US_138kV,138,0.0637009955516314,0.362599400281189,14.5723559291992,0.944762592669575,60,15612
US,US_161kV,161,0.0620855376310679,0.373745884037223,14.1353050677323,0.951301114351701,60,6499
US,US_230kV,230,0.044640813922837,0.402969147045551,13.1436544456567,1.35250576104074,60,1794
US,US_345kV,345,0.0303532807726485,0.364060297744891,14.4133236331305,2.00507891312913,60,2305
US,US_500kV,500,0.0202974336356539,0.343469470372469,15.1590607587995,2.98626921184834,60,1264
US,US_765kV,765,0.0132008525754395,0.367725312026431,14.2637168930768,3.10997458237893,60,232
