,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
272,Hidroituango,Hydro,Reservoir,PP,CO,2400,,,0,0,0,2024,2024,2124,7.1347,-75.6624,{nan},{'GHPT': {'G601434'}},32
3,Guavio,Hydro,Reservoir,PP,CO,1250,,,0,0,0,1990,1990,2090,4.7247,-73.4831,{nan},"{'GHPT': {'G601432'}, 'GEO': {'GEO-43448'}, 'GPD': {'WRI1018568'}}",256
6,San Carlos,Hydro,Reservoir,PP,CO,1240,,,0,0,0,1984,1984,2084,6.2137,-74.8161,{nan},"{'GHPT': {'G601450'}, 'GEO': {'GEO-43434'}, 'GPD': {'WRI1018576'}}",264
2,Chivor,Hydro,Reservoir,PP,CO,1000,,,0,0,0,1970,1970,2070,4.9008,-73.2969,{nan},"{'GHPT': {'G601421'}, 'GEO': {'GEO-43431'}, 'GPD': {'WRI1018566'}}",355
23,Sogamoso,Hydro,Reservoir,PP,CO,820,,,0,0,0,2015,2015,2115,7.1011,-73.4075,{nan},"{'GHPT': {'G601452'}, 'GPD': {'WRI1018578'}}",360
5,Porce,Hydro,Reservoir,PP,CO,660,,,0,0,0,2010,2010,2110,6.9386,-75.1386,{nan},"{'GHPT': {'G601446'}, 'GEO': {'GEO-43449'}, 'GPD': {'WRI1018575'}}",226
21,Termo Flores,CCGT,CCGT,PP,CO,610,,,0,0,0,1993,1993,2033,11.026,-74.8125,"{nan, nan}","{'GGPT': {'L100000406570'}, 'GPD': {'WRI1018583'}}",30
40,Termocandelaria,CCGT,CCGT,PP,CO,566,,,0,0,0,2023,2023,2063,10.3585,-75.4856,{nan},{'GGPT': {'L100000406573'}},22
26,Guatape,Hydro,Reservoir,PP,CO,560,,,0,0,0,1971,1971,2071,6.3201,-75.1659,{nan},"{'GHPT': {'G601431'}, 'GPD': {'WRI1018565'}}",93
15,Betania,Hydro,Reservoir,PP,CO,540,,,0,0,0,1987,1987,2087,2.7082,-75.4298,{nan},"{'GHPT': {'G601416'}, 'GEO': {'GEO-43451'}}",147
42,Termoemcali,CCGT,CCGT,PP,CO,481,,,0,0,0,1998,1998,2038,3.5623395,-76.460952,"{nan, nan}","{'GGPT': {'L100000406590', 'L100000406580'}}",66
20,Termosierra,CCGT,CCGT,PP,CO,460,,,0,0,0,2001,2001,2041,6.23605,-74.561158,{nan},"{'GGPT': {'L100000406577'}, 'GPD': {'WRI1018572'}}",96
12,Gecelca,Hard Coal,Steam Turbine,PP,CO,437,,,0,0,0,2015,2015,2060,7.99111,-75.59456,"{nan, nan}","{'GCPT': {'G100000102974', 'G100000102973'}, 'GPD': {'WRI1075561'}}",307
18,Porce,Hydro,Reservoir,PP,CO,405,,,0,0,0,2001,2001,2101,6.8056,-75.1491,{nan},"{'GHPT': {'G601445'}, 'GEO': {'GEO-43450'}}",50
4,Miel,Hydro,Reservoir,PP,CO,396,,,0,0,0,2002,2002,2102,5.5606,-74.8866,{nan},"{'GHPT': {'G601440'}, 'GEO': {'GEO-43432'}, 'GPD': {'WRI1018573'}}",33
269,El Quimbo,Hydro,Reservoir,PP,CO,396,,,0,0,0,2015,2015,2115,2.4507,-75.565,{nan},{'GHPT': {'G601425'}},167
14,Alto Anchicaya,Hydro,Reservoir,PP,CO,353,,,0,0,0,1974,1974,2074,3.5243,-76.7127,{nan},"{'GHPT': {'G601415'}, 'GEO': {'GEO-42249'}}",79
0,Termopaipa,Hard Coal,Steam Turbine,PP,CO,350,,,0,0,0,1963,1963,2035,5.7682,-73.1472,"{nan, nan, nan, nan}","{'GCPT': {'G100000110017', 'G100000110015', 'G100000110016', 'G100000110014'}, 'GEO': {'GEO-43462'}, 'GPD': {'WRI1018584'}}",182
