,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
0,Akita,Oil,Steam Turbine,PP,JP,600,,,,,,1980,1980,2024,39.784715,140.048888,{nan},"{'GEM': {'G100000412605'}, 'GPD': {'WRI1000619'}, 'GEO': {'GEO-44917'}}",204
1,Okumino,Hydro,Reservoir,Storage,JP,1500,,,,,,1994,1994,2094,35.7348,136.6615,{nan},"{'GEM': {'G100000602318'}, 'GPD': {'WRI1000704'}, 'GEO': {'GEO-45070'}}",847
2,Takami,Hydro,Pumped Storage,Storage,JP,200,,,,,,1983,1983,2083,42.4563,142.6364,{nan},"{'GEM': {'G100000602340'}, 'GPD': {'WRI1000692'}, 'GEO': {'GEO-45129'}}",1606
3,Takahama 1,Nuclear,Steam Turbine,PP,JP,826,,,,,,1974,1974,2024,35.5223,135.5036,{nan},"{'GEM': {'G100000500358'}, 'GPD': {'WRI1000683'}, 'GEO': {'GEO-5639'}}",1513
4,Tagokura,Hydro,Reservoir,PP,JP,400,,,,,,1959,2006,2106,37.3118,139.2882,{nan},"{'GEM': {'G100000602339'}, 'GPD': {'WRI1000729'}, 'GEO': {'GEO-45099'}}",101
5,Tadami,Hydro,Reservoir,PP,JP,65,,,,,,1989,1989,2089,37.3354,139.3004,{nan},"{'GEM': {'G100001027315'}, 'GPD': {'WRI1020236'}, 'GEO': {'GEO-45100'}}",101
6,Tachibana Wan,Hard Coal,Steam Turbine,PP,JP,2800,,,,,,2000,2000,2045,33.8604616666667,134.652438666667,"{nan, nan, nan}","{'GEM': {'G100000109267', 'G100000104929', 'G100000104930'}, 'GPD': {'WRI1000669', 'WRI1020035'}, 'GEO': {'GEO-5631'}}",907
7,Sunagawa,Hard Coal,Steam Turbine,PP,JP,250,,,,,,1977,1977,2027,43.464715,141.891161,"{nan, nan}","{'GEM': {'G100000109710', 'G100000109711'}, 'GPD': {'WRI1020031'}, 'GEO': {'GEO-5594'}}",773
8,Shiobara,Hydro,Pumped Storage,Storage,JP,900,,,,,,1994,1994,2094,36.9954,139.8683,{nan},"{'GEM': {'G100000602337'}, 'GPD': {'WRI1000697'}, 'GEO': {'GEO-45101'}}",1668
9,Shinchi,Hard Coal,Steam Turbine,PP,JP,2000,,,,,,1994,1994,2039,37.841115,140.946169,"{nan, nan}","{'GEM': {'G100000109284', 'G100000109283'}, 'GPD': {'WRI1020064'}, 'GEO': {'GEO-44423'}}",865
10,Shinagawa,CCGT,CCGT,PP,JP,1140,,,,,,2001,2001,2041,35.620564,139.756431,"{nan, nan, nan}","{'GEM': {'G100000404108', 'G100000404107', 'G100000404109'}, 'GPD': {'WRI1000633'}, 'GEO': {'GEO-5379'}}",116
11,Shin Onoda,Hard Coal,Steam Turbine,PP,JP,1000,,,,,,1986,1986,2031,33.969,131.163403,"{nan, nan}","{'GEM': {'G100000109281', 'G100000109280'}, 'GPD': {'WRI1000661'}, 'GEO': {'GEO-5375'}}",1745
12,Shin Oita,CCGT,CCGT,PP,JP,2875,0.462862745098039,,,,,1991,1991,2031,33.26275,131.707746,"{nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan}","{'GEM': {'G100000404086', 'G100000404081', 'G100000404091', 'G100000404084', 'G100000404088', 'G100000404079', 'G100000404087', 'G100000404090', 'G100000404089', 'G100000404080', 'G100000404085', 'G100000404083', 'G100000404078', 'G100000404082'}, 'GPD': {'WRI1020072', 'WRI1000664'}, 'GEO': {'GEO-44948'}}",389
13,Shin Narihagawa,Hydro,Pumped Storage,Storage,JP,303,,,,,,1958,1958,2058,34.8228,133.4019,{nan},"{'GEM': {'G100000602331'}, 'GPD': {'WRI1000717'}, 'GEO': {'GEO-45120'}}",428
14,Shin Nagoya,CCGT,CCGT,PP,JP,3058,0.560928711576194,,,,,1998,1998,2038,35.066262,136.879403,"{nan, nan, nan, nan, nan, nan, nan, nan, nan, nan}","{'GEM': {'G100000404072', 'G100000404068', 'G100000404066', 'G100000404063', 'G100000404070', 'G100000404064', 'G100000404071', 'G100000404069', 'G100000404067', 'G100000404065'}, 'GPD': {'WRI1000639'}, 'GEO': {'GEO-5377', 'GEO-5374'}}",397
15,Shimogo,Hydro,Pumped Storage,Storage,JP,1000,,,,,,1988,1988,2088,37.3451,139.9083,{nan},"{'GEM': {'G100000602329'}, 'GPD': {'WRI1000724'}, 'GEO': {'GEO-45073'}}",892
16,Shimane 2,Nuclear,Steam Turbine,PP,JP,820,,,,,,2024,1989,2039,35.5383,132.9992,{nan},"{'GEM': {'G100000500365'}, 'GPD': {'WRI1000685'}, 'GEO': {'GEO-5373'}}",1093
17,Shika 2,Nuclear,Steam Turbine,PP,JP,1206,,,,,,2006,2006,2011,37.0609,136.7265,{nan},"{'GEM': {'G100000500035'}, 'GPD': {'WRI1000681'}, 'GEO': {'GEO-5372'}}",928
18,Sendai 1,Nuclear,Steam Turbine,PP,JP,890,,,,,,1984,1984,2034,31.8335,130.1887,{nan},"{'GEM': {'G100000500329'}, 'GPD': {'WRI1000688'}, 'GEO': {'GEO-5329'}}",1268
19,Sakuma,Hydro,Reservoir,PP,JP,350,,,,,,1956,1956,2056,35.0916,137.8071,{nan},"{'GEM': {'G100000602326'}, 'GPD': {'WRI1000730'}, 'GEO': {'GEO-45088'}}",733
20,Reihoku,Hard Coal,Steam Turbine,PP,JP,1400,,,,,,1995,1995,2040,32.485132,130.042115,"{nan, nan}","{'GEM': {'G100000108525', 'G100000108524'}, 'GPD': {'WRI1000666'}, 'GEO': {'GEO-44418'}}",1266
21,Otori,Hydro,Reservoir,PP,JP,182,,,,,,1963,1999,2099,37.2163,139.2136,{nan},"{'GEM': {'G100000602323'}, 'GPD': {'WRI1000735'}, 'GEO': {'GEO-45075'}}",413
22,Onagawa 2,Nuclear,Steam Turbine,PP,JP,825,,,,,,2024,1995,2045,38.3987,141.5003,{nan},"{'GEM': {'G100000500363'}, 'GPD': {'WRI1000676'}, 'GEO': {'GEO-4616'}}",890
23,Omarugawa,Hydro,Pumped Storage,Storage,JP,1200,,,,,,2007,2007,2107,32.242,131.3913,{nan},"{'GEM': {'G100000602322'}, 'GPD': {'WRI1000719'}, 'GEO': {'GEO-45067'}}",392
24,Okuyoshino,Hydro,Reservoir,Storage,JP,1206,,,,,,1978,1978,2078,34.1137,135.824,{nan},"{'GEM': {'G100000602321'}, 'GPD': {'WRI1000712'}, 'GEO': {'GEO-45038'}}",917
25,Okutataragi,Hydro,Pumped Storage,Storage,JP,1932,,,,,,1974,1974,2074,35.2373,134.834,{nan},"{'GEM': {'G100000602320'}, 'GPD': {'WRI1000710'}, 'GEO': {'GEO-45037'}}",2014
26,Takasago,Hard Coal,Steam Turbine,PP,JP,500,,,,,,1968,1968,2031,34.754038,134.766358,"{nan, nan}","{'GEM': {'G100000109867', 'G100000109868'}, 'GPD': {'WRI1020041'}, 'GEO': {'GEO-44420'}}",444
27,Tamahara,Hydro,Pumped Storage,Storage,JP,1200,,,,,,1982,1982,2082,36.8009,139.0468,{nan},"{'GEM': {'G100000602343'}, 'GPD': {'WRI1000695'}, 'GEO': {'GEO-45102'}}",707
