time,ZM0 0,ZM0 1,ZM0 2,ZM0 3,ZM0 4,ZM0 5,ZM0 6,ZM0 7,ZM0 8,ZM0 9
41275,2.051815457,35.27515341,12.09514857,26.20756223,9.080651763,2.578307685,0.106011108,1.869868957,1.215813125,14.23811355
41275.04167,2.065099796,35.50354,12.17345779,26.37724132,9.139443826,2.595000763,0.10669747,1.881975297,1.223684824,14.33029725
41275.08333,2.089289511,35.91941361,12.31605258,26.68621328,9.246499446,2.625397516,0.10794728,1.904019967,1.238018556,14.49815635
41275.125,2.335572154,40.15354587,13.76785233,29.83194828,10.33646439,2.934875851,0.12067196,2.128463286,1.383954522,16.20717956
41275.16667,2.418298045,41.57578318,14.25550922,30.88859494,10.70258163,3.03882906,0.124946157,2.203853387,1.432974147,16.78123734
41275.20833,2.624981898,45.12912644,15.47387995,33.52853993,11.61729552,3.298547625,0.135624888,2.392209372,1.555445659,18.21547362
41275.25,2.890050698,49.68623344,17.03642131,36.91422798,12.79040173,3.631632612,0.149320192,2.633772968,1.712513452,20.05485916
41275.29167,2.964117261,50.95959813,17.47303274,37.8602702,13.11819567,3.724704524,0.153146988,2.701271614,1.75640195,20.56882747
41275.33333,2.977435934,51.18857498,17.55154435,38.03038782,13.17713968,3.741440745,0.153835123,2.713409243,1.764293994,20.66124942
41275.375,2.979777786,51.2288365,17.56534922,38.06029998,13.18750394,3.744383513,0.15395612,2.715543429,1.76568167,20.67750018
41275.41667,2.979458978,51.22335549,17.5634699,38.05622788,13.186093,3.743982899,0.153939648,2.715252892,1.765492758,20.67528788
41275.45833,2.996886193,51.52296708,17.66620075,38.27882335,13.26322004,3.765881906,0.154840059,2.731134733,1.775819338,20.79622013
41275.5,2.998678387,51.55377878,17.67676547,38.3017148,13.2711517,3.768133974,0.154932657,2.732768003,1.776881312,20.80865666
41275.54167,2.998678387,51.55377878,17.67676547,38.3017148,13.2711517,3.768133974,0.154932657,2.732768003,1.776881312,20.80865666
41275.58333,2.996886193,51.52296708,17.66620075,38.27882335,13.26322004,3.765881906,0.154840059,2.731134733,1.775819338,20.79622013
41275.625,2.974082396,51.1309204,17.53177574,37.98755353,13.16229803,3.737226695,0.153661856,2.710353082,1.762306839,20.63797829
41275.66667,3.242450454,55.7447488,19.11376574,41.41538256,14.35000567,4.074457524,0.167527623,2.954923373,1.921329624,22.50025829
41275.70833,3.167750852,54.46050079,18.67342264,40.46125461,14.01941011,3.980590136,0.16366812,2.886847822,1.877066015,21.98189714
41275.75,3.126401885,53.74962246,18.4296766,39.93310983,13.83641336,3.928631097,0.161531744,2.84916551,1.852564485,21.69496525
41275.79167,3.004705665,51.65740075,17.71229538,38.37870042,13.29782643,3.775707841,0.155244068,2.738260807,1.780452804,20.85048161
41275.83333,2.813225379,48.36543975,16.58354742,35.93294854,12.45039846,3.535094052,0.14535086,2.5637602,1.666990239,19.52174707
41275.875,2.528083581,43.46323442,14.90267871,32.29087079,11.18845584,3.176785371,0.130618444,2.303903596,1.498028094,17.54306947
41275.91667,2.318418134,39.85863109,13.66673191,29.61284229,10.26054641,2.913320139,0.119785664,2.112830412,1.373789824,16.08814308
41275.95833,2.113231046,36.33102046,12.45718438,26.99201528,9.352456703,2.655482406,0.109184266,1.925838466,1.252205228,14.66429326
41276,2.046039465,35.1758516,12.06109995,26.13378627,9.055089147,2.571049584,0.10571268,1.864605156,1.212390533,14.19803235
41276.04167,2.057226045,35.36817315,12.12704319,26.27667095,9.104597225,2.585106621,0.106290657,1.874799757,1.219019195,14.27565911
41276.08333,2.109939307,36.27442835,12.43778007,26.94997035,9.337888566,2.651346014,0.109014192,1.922838625,1.250254692,14.64145098
41276.125,2.346575461,40.34271654,13.83271519,29.97249203,10.38516136,2.948702586,0.121240468,2.138490864,1.390474584,16.28353454
41276.16667,2.421371196,41.62861729,14.27362498,30.92784787,10.71618237,3.042690775,0.125104937,2.206654023,1.434795157,16.80256278
