Report generated on: 01-13-2026 23:55:39
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","hydroelectricity net generation (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.33-12-WORL-BKWH.A","    World","1722.568089788","1746.76266412","1790.224237136","1871.988605537","1933.867666767","1952.058454059493","1991.789856238307","1995.836318310668","2072.167699621639","2060.351660025754","2144.407810315621","2182.938412571389","2188.693854335699","2313.692202036941","2336.55695062464","2453.528955696972","2489.918966132877","2545.305736337","2552.109439491","2589.493158715","2625.183097","2570.845645","2616.400031","2622.358723","2790.14150841","2909.61725499","3014.26431574","3044.01017438","3179.25198516","3237.52009422","3413.29910942","3473.26339451","3636.84586932","3766.38206981","3837.04461893","3852.0822219","3989.00728713","4032.56231268","4157.41029082","4205.5344945","4332.05731644","4270.8075443","4326.003638167","4235.560051237"
"INTL.33-12-AFG-BKWH.A","        Afghanistan","0.711","0.721","0.707","0.746","0.757","0.77","0.713","0.756","0.744","0.75","0.756","0.683","0.473","0.47","0.467","0.412","0.361","0.322","0.3","0.3","0.312","0.498","0.555","0.63","0.565","0.59","0.637","0.748","0.542","0.776","0.751","0.595","0.71","0.855","0.968","1.001","1.025","1.05","0.928","1.221","0.988","0.85","0.738",".749149972"
"INTL.33-12-ALB-BKWH.A","        Albania","2.919","3.018","3.093","3.167","3.241","3.315","3.365","3.979","3.713","3.846","2.82","3.483","3.187","3.281","3.733","4.162","5.669","4.978","4.872","5.231","4.548","3.519","3.477","5.117","5.411","5.319","4.951","2.76","3.759","5.201","7.567","4.132","4.725","6.959","4.724","5.895","7.782","4.525","8.552","5.184","5.281","8.896","6.813","8.709"
"INTL.33-12-DZA-BKWH.A","        Algeria","0.248","0.362","0.474","0.233","0.516","0.639","0.247","0.491","0.181","0.263","0.134","0.29","0.197","0.349","0.164","0.191","0.134","0.074","0.213","0.201","0.053","0.068","0.056","0.262","0.248","0.549","0.216","0.224","0.28","0.303","0.172","0.497","0.616","0.327","0.251","0.144","0.2158","0.0554","0.1158","0.152","0.0496","0.012","0.016","0.02"
"INTL.33-12-ASM-BKWH.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-AGO-BKWH.A","        Angola","0.53","0.53","0.6","0.6","0.6","0.6","0.66","0.66","0.66","0.667","0.718","0.715","0.832","0.881","0.886","0.891","0.916","0.866","1.049","0.885","0.912","1.017","1.143","1.241","1.754","2.222","2.544","2.488","3.147","3.269","3.703","4.007","5.469","4.719","4.991","5.279","6.362","7.653","10.374","11.506","12.638","12.638","12.638","13.268875"
"INTL.33-12-ATA-BKWH.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-ATG-BKWH.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-ARG-BKWH.A","        Argentina","17.313","16.382","18.787","18.407","20.456","20.44","20.799","21.623","14.883","12.835","17.697","16.059","19.19","23.628","27.087","26.564","22.683","27.735","26.171","21.178","28.486","36.653","35.492","33.475","30.136","33.664","37.571","30.063","30.113","33.527","33.0195","31.0335","28.712","32.5126","32.3324","31.9394","29.405","31.3652","31.8658","27.2344","23.6139","19.4041","23.9746903","21.7249408"
"INTL.33-12-ARM-BKWH.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","3.013","4.249","3.479","1.9","1.556","1.376","1.522","1.188","1.248","0.958","1.641","1.962","1.978","1.755","1.807","1.834","1.779","1.999","2.53","2.464","2.299","2.151","1.972","2.184","2.327","2.246","2.2948","2.3473","1.778","2.202","2.846","1.646"
"INTL.33-12-ABW-BKWH.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-AUS-BKWH.A","        Australia","12.814","13.935","13.461","12.011","11.975","13.529","14.372","13.463","13.41","14.311","14.006","15.663","15.194","16.483","16.192","15.726","15.619","16.733","15.636","16.509","16.196","16.397","15.718","16.127","15.886","15.156","15.767","14.196","11.79","11.684","13.502","16.694","13.979","18.116","18.338","13.324","15.021","16.037","15.804","15.602","14.764","16.3243","16.811","15.229555249"
"INTL.33-12-AUT-BKWH.A","        Austria","28.501","30.008","29.893","29.577","28.384","30.288","30.496","25.401","35.151","34.641","31.179","31.112","34.483","36.336","35.349","36.696","33.874","35.744","36.792","40.292","41.418","40.05","39.825","32.883","36.394","36.31","35.48","36.732","37.969","40.487","36.466","32.511","41.862","40.138","39.001","35.255","37.954","36.462","35.73","40.4365","41.9356096","40.9356439","34.705","39.937318309"
"INTL.33-12-AZE-BKWH.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","1.73","2.376","1.811","1.54","1.523","1.695","1.931","1.491","1.519","1.288","2","2.444","2.727","2.979","2.493","2.34","2.21","2.285","3.412","2.649","1.803","1.474","1.287","1.621","1.939","1.729","1.75","1.5494","1.067","1.2773","1.596","1.641586219"
"INTL.33-12-BHR-BKWH.A","        Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-BGD-BKWH.A","        Bangladesh","0.625","0.523","0.662","0.662","0.897","0.739","0.45","0.512","0.668","0.911","0.875","0.83","0.788","0.602","0.839","0.604","0.732","0.712","0.856","0.825","0.937","0.983","1.055","1.115","1.214","1.28","1.375","0.742","0.941","0.438","0.764","0.915","0.816","0.939","0.617","0.594","1.01","1.031","1.0751","0.812","0.777","0.734","0.711","0.647"
"INTL.33-12-BRB-BKWH.A","        Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-BLR-BKWH.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","0.017","0.019","0.019","0.02","0.016","0.021","0.028","0.019","0.027","0.03","0.028","0.028","0.033","0.036","0.035","0.035","0.039","0.044","0.045","0.042","0.069","0.137","0.12","0.106","0.141","0.401","0.3208","0.3445","0.394","0.37","0.372",".394"
"INTL.33-12-BEL-BKWH.A","        Belgium","0.274","0.377","0.325","0.331","0.348","0.282","0.339","0.425","0.354","0.3","0.263","0.226","0.338","0.252","0.342","0.335","0.237","0.30195","0.38511","0.338","0.455","0.437","0.356","0.245","0.314","0.285","0.355","0.385","0.406","0.325","0.298","0.193","0.353","0.376","0.289","0.314","0.367","0.268","0.3135","0.302","0.2669","0.3933","0.2186","0.363087669"
"INTL.33-12-BLZ-BKWH.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0.06","0.068","0.065","0.075","0.093","0.0914","0.0882","0.0612","0.0632","0.0686","0.1777","0.1774","0.2044","0.188","0.263","0.245","0.209","0.259","0.256","0.236","0.261","0.268","0.248","0.295","0.242","0.158","0.239",".239"
"INTL.33-12-BEN-BKWH.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0017","0.0017","0.0017","0.0017","0.002","0.002","0.002","0.002","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.002","0.002","0.001","0.005","0.001","0.0001","0.0001","0.0001","0.0001","0.00006","0.00006"
"INTL.33-12-BMU-BKWH.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-BTN-BKWH.A","        Bhutan","0.006","0.007","0.008","0.008","0.008","0.008","0.3","1.168","1.529","1.529","1.541","1.557","1.604","1.604","1.658","1.715","1.852","1.82","1.783","1.782","1.792","1.921","2.178","2.502","2.329","2.62","4.474","6.494","6.891","6.928","7.255","6.975","6.745","7.531","7.15","7.731","7.879","7.65","6.889","8.646","11.37","10.822","10.771","11.1645625"
"INTL.33-12-BOL-BKWH.A","        Bolivia","1.069","1.143","1.192","1.157","1.176","1.148","1.128","1.117","1.248","1.24","1.24","1.371","1.337","1.361","1.337","1.27","1.445","1.557","1.498","1.775","1.953","2.108","2.181","1.967","2.128","1.944","2.1373","2.2961","2.287","2.273","2.16","2.324","2.328","2.51","2.228","2.438","1.703","2.212","2.612","3.251","2.942","3.237","2.851","2.974914733"
"INTL.33-12-BIH-BKWH.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","3.374","2.343","3.424","3.607","5.104","4.608","4.511","5.477","5.043","5.129","5.215","4.456","5.919","5.938","5.798","3.961","4.818","6.177","7.946","4.343","4.173","7.164","5.876","5.495","5.585","3.987","6.519","6.172","4.663","6.796","4.747","5.542352941"
"INTL.33-12-BWA-BKWH.A","        Botswana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-BRA-BKWH.A","        Brazil","128.436","129.395","139.652","149.889","164.848","176.507","180.7","183.744","197.102","202.643","204.641","215.604","221.11","232.714","240.278","251.366","263.111","276.182","288.55431","290.07","304.403","267.876","286.092","305.616","320.797","337.457","348.805","374.015","369.556","390.988","403.289","428.333","415.342","390.992","373.439","359.743","380.911","370.9065","388.9711","397.8771","396.3812","362.8185","427.113549","421.9008681"
"INTL.33-12-VGB-BKWH.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-BRN-BKWH.A","        Brunei","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-BGR-BKWH.A","        Bulgaria","3.674","3.58","3.018","3.318","3.226","2.214","2.302","2.512","2.569","2.662","1.859","2.417","2.042","1.923","1.453","2.291","2.89","2.726","3.066","2.725","2.646","1.72","2.172","2.999","3.136","4.294","4.196","2.845","2.796","3.435","4.9817","2.8433","3.1462","3.9956","4.556","5.5984","3.8412","2.7997","5.0955","2.9295","2.8204","4.8192","3.7340143","3.0991082"
"INTL.33-12-BFA-BKWH.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0.009","0.013","0.02","0.047","0.072","0.094","0.114","0.115","0.078","0.123","0.097","0.053","0.064","0.096","0.1004","0.0995","0.0799","0.1103","0.1346","0.131","0.116","0.081","0.097","0.106","0.09","0.093","0.139","0.128","0.128","0.11","0.11","0.127","0.082",".115709012"
"INTL.33-12-MMR-BKWH.A","        Burma","0.788","0.851","0.917","0.983","1","0.993","1.031","1.013","0.926","1.133","1.181","1.228","1.503","1.688","1.598","1.608","1.634","1.669","0.94","1.028","1.873","1.804","2.111","2.075","2.408","2.997","3.325","3.619","4.071","5.256","6.189","7.518","7.766","8.823","8.829","9.399","9.744","10.926","12.265","10.518","8.796","9.509","9.072","9.4311875"
"INTL.33-12-BDI-BKWH.A","        Burundi","0.002","0.002","0.002","0.023","0.039","0.046","0.061","0.094","0.103","0.102","0.107","0.11","0.104","0.108","0.114","0.117","0.117","0.12","0.109","0.097","0.098","0.114","0.126","0.1","0.09","0.095","0.092","0.116","0.111","0.12","0.141","0.128","0.139","0.138","0.14","0.136","0.142","0.185","0.24","0.264","0.27","0.256","0.256","0.256"
"INTL.33-12-CPV-BKWH.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-KHM-BKWH.A","        Cambodia","0.049","0.053","0.055","0.04","0.03","0.035","0.04","0.045","0.05","0.054","0.062","0.064","0.067","0.069","0.071","0.073","0.077","0.057","0.05","0.044","0.046","0.03","0.029","0.041","0.028","0.044","0.048","0.047","0.043","0.037","0.032","0.051","0.512","1.006","1.833","1.98","2.593","2.706","4.971","4.239","4.048","5.249","6.157","5.32"
"INTL.33-12-CMR-BKWH.A","        Cameroon","1.35","1.79","2.028","2.003","2.106","2.295","2.297","2.301","2.489","2.602","2.609","2.642","2.624","2.626","2.661","2.725","2.839","3.061","3.085","3.301","3.408","3.439","3.15","3.493","3.881","3.734","3.853","3.809","4.19","3.976","4.2174","4.353","4.2134","4.3293","4.3293","4.3154","4.3293","5.0391","4.9728","5.026","5.233","5.233","5.233","5.26157413"
"INTL.33-12-CAN-BKWH.A","        Canada","250.998","263.137","255.185","263.363","283.372","300.799","307.653","313.19","303.462","287.642","293.859","305.274","313.198","320.344","326.449","332.564","352.091","347.191","328.57","342.1","354.924","329.986","347.048","334.071","337.427","358.301","349.323","363.909","373.676","364.964","347.871","371.967","376.465","387.871","378.676","378.372","381.578","390.641","382.02","375.982","380.935","379.076","392.453","360.467752674"
"INTL.33-12-CYM-BKWH.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
