ISO2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AF,,,,,,,,,,,,,,,,,,1.7,1.7,11.7,11.7,11.7,11.7
AL,,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.56,0.68,0.76,0.87,1.05,1.0,1.0,1.0,14.0,21.0,23.0,28.6
DZ,,,,,,,,,,,,,,,2.2,17.2,217.2,310.2,322.2,322.2,322.2,322.2,322.2
AS,,,,,,,,,,,,,2.42,2.42,2.42,2.42,2.42,2.42,3.31,3.31,3.31,3.31,3.31
AD,,,,,,,,,,,,,,,0.19,0.23,0.24,0.49,1.09,1.99,3.08,4.35,4.35
AO,,,,,,,,,,,,,,,,,,,,,,,284.0
AI,,,,,,,,,,,,,0.06,0.06,1.17,1.17,2.27,2.27,1.17,1.54,1.54,1.54,1.54
AG,,,,,,,,,,0.1,0.1,0.3,0.3,0.4,0.4,3.4,3.5,3.9,8.3,8.3,12.45,12.45,12.45
AR,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1.23,6.23,8.23,8.23,8.0,8.2,8.2,190.63,440.08,762.11,1069.34,1104.02
AM,,,,,,,,,,,,,,,,,1.0,2.4,17.32,21.1,50.5,146.1,235.2
AW,,,,,,,,,,,0.1,0.3,1.0,1.6,4.9,6.1,6.1,6.1,13.6,13.6,13.6,13.6,13.6
AU,25.0,29.0,34.0,39.0,46.0,52.0,61.0,70.0,82.0,329.0,1088.0,2470.0,3796.0,4565.0,5284.0,5943.0,6686.0,7288.0,11362.0,16144.0,20835.0,25754.0,29676.0
AT,5.0,7.0,9.0,23.0,27.0,18.49,19.61,21.42,27.0,45.56,85.27,169.88,333.09,620.78,779.76,931.56,1089.53,1262.01,1447.94,1694.4,2034.74,2773.91,3538.91
AZ,,,,,,,,0.1,0.1,0.1,0.3,1.0,1.0,1.0,2.4,4.8,24.9,28.4,34.9,33.1,35.1,47.9,50.9
BS,,,,,,,,0.1,0.1,0.2,0.3,0.4,0.6,0.6,1.15,1.15,1.25,1.25,1.25,2.17,2.17,2.17,2.48
BH,,,,,,,,,,,,0.01,0.51,0.51,5.01,5.01,6.01,6.01,6.35,9.35,9.76,11.32,11.67
BD,,,,,,,,,,,,,0.06,0.06,0.57,4.62,14.38,21.99,49.54,78.62,136.94,303.22,356.46
BB,,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.6,0.8,1.0,1.25,1.5,0.43,1.29,3.09,14.94,16.4,17.25,33.21,49.15,63.93,68.88
BY,,,,,,,,,,,,,,,4.0,6.0,47.0,80.0,154.0,154.0,160.3,163.4,272.5
BE,,,1.0,1.0,1.0,2.0,2.0,20.0,62.0,386.0,1006.6,1978.6,2646.6,2901.6,3015.0,3131.6,3328.8,3620.6,4000.0,4636.6,5572.8,6012.4,6898.4
BZ,,,,,,,,,,,,,0.48,0.48,0.48,0.48,0.48,0.48,0.76,5.93,5.93,5.93,5.93
BJ,,,,,,,,,,,,,,,0.2,1.2,1.4,1.4,1.4,1.4,1.4,1.4,26.4
BT,,,,,,,,,,,,,,,,,,,,,,0.18,0.18
BO,,,,,,,,,,,,,,,,,,5.0,65.06,115.07,115.07,165.08,165.35
BQ,,,,,,,,,,,,,,,,0.3,2.25,4.51,5.65,6.65,6.65,6.65,6.65
BA,,,,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.35,1.34,7.17,8.17,14.12,16.0,18.15,22.35,34.89,56.51,107.47
BW,,,,,,,,,,,,,1.3,1.3,1.3,1.3,1.35,1.35,1.35,3.55,3.55,3.9,3.9
BR,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.13,0.17,5.42,5.89,11.81,19.98,41.64,123.7,1199.58,2427.8,4627.7,8283.26,14189.81,24071.62
VG,,,,,,,,,,,,,,,,,,,,,,,
BN,,,,,,,,,,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.42,4.82,4.85
BG,,,,,,,,0.03,0.1,2.0,25.0,154.0,921.99,1038.54,1028.92,1027.89,1029.89,1030.7,1033.06,1044.39,1100.21,1274.71,1948.36
BF,,,,,,,,,,,,,,,,,,34.8,34.8,35.39,35.39,35.39,65.39
BI,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,7.9,7.9
CV,,,,,,,,,,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.74,6.74,6.74,6.74,6.74
KH,0.09,0.19,0.28,0.33,0.36,0.54,0.69,1.56,1.9,2.14,2.19,3.89,4.68,5.33,8.45,10.94,16.44,27.44,27.44,122.76,314.24,374.24,454.24
CM,,,,,,,,,,,,,,,,,,,,,,,
