Country,p_nom_discharge[GW],p_nom_store[GW],E_store[TWh],InflowHourlyAvg[GWh]
AO,0,0,0,0
BF,0,0,0,0
BI,0,0,0,0
BJ,0,0,0,0
BW,0,0,0,0
CD,0,0,0,0
CF,0,0,0,0
CG,0,0,0,0
CI,0,0,0,0
CM,0,0,0,0
DJ,0,0,0,0
DZ,0,0,0,0
EG,0,0,0,0
EH,0,0,0,0
ER,0,0,0,0
ET,0,0,0,0
GA,0,0,0,0
GH,0,0,0,0
GM,0,0,0,0
GN,0,0,0,0
GQ,0,0,0,0
GW,0,0,0,0
KE,0,0,0,0
LR,0,0,0,0
LS,0,0,0,0
LY,0,0,0,0
MA,0,0,0,0
MG,0,0,0,0
ML,0,0,0,0
MR,0,0,0,0
MW,0,0,0,0
MZ,0,0,0,0
NA,0,0,0,0
NE,0,0,0,0
NG,0,0,0,0
RW,0,0,0,0
SD,0,0,0,0
SL,0,0,0,0
SN,0,0,0,0
SO,0,0,0,0
SS,0,0,0,0
SZ,0,0,0,0
TD,0,0,0,0
TG,0,0,0,0
TN,0,0,0,0
TZ,0,0,0,0
UG,0,0,0,0
ZA,3.625,2.922,1.383,5.0
ZM,0,0,0,0
ZW,0,0,0,0
