country,y,x,location,technology,capacity,unit,quality,ID,tech
DZ,36.795924,7.707633,Sidi Amar,Integrated steelworks,1800.0,kt/yr,exact,SDZ00002,Integrated steelworks
DZ,36.753961,6.24442,El-Milia,DRI + Electric arc,2200.0,kt/yr,exact,SDZ00001,DRI + Electric arc
DZ,35.770912,-0.263031,Bethiqua,DRI + Electric arc,3700.0,kt/yr,exact,SDZ00003,DRI + Electric arc
AO,-8.5824,13.405271,Barra de Dande,Electric arc,500.0,kt/yr,exact,SAO00001,Electric arc
EG,31.123467,29.80987,Alexandria,DRI + Electric arc,3200.0,kt/yr,exact,SEG00004,DRI + Electric arc
EG,29.152604,31.247401,Beni Suef,Electric arc,600.0,kt/yr,exact,SEG00009,Electric arc
EG,30.389174,30.571894,Sadat City,Electric arc,1200.0,kt/yr,exact,SEG00001,Electric arc
EG,30.393079,30.58773,Sadat City,DRI + Electric arc,3000.0,kt/yr,exact,SEG00003,DRI + Electric arc
EG,30.382179,30.563029,Sadat City,Electric arc,1000.0,kt/yr,exact,SEG00006,Electric arc
EG,29.692045,32.322117,Ain Sokhna,DRI + Electric arc,2300.0,kt/yr,exact,SEG00005,DRI + Electric arc
EG,29.923176,32.466587,Attaka,DRI + Electric arc,2100.0,kt/yr,exact,SEG00007,DRI + Electric arc
EG,29.872757,32.469342,Attaka,Electric arc,600.0,kt/yr,exact,SEG00008,Electric arc
KE,-3.77734,39.279963,Kinango,DRI + Electric arc,1000.0,kt/yr,exact,SKE00002,DRI + Electric arc
LY,32.335185,15.215053,Misrata,DRI + Electric arc,1750.0,kt/yr,exact,SLY00001,DRI + Electric arc
MA,33.136529,-8.603555,El Jadida,Electric arc,800.0,kt/yr,exact,SMA00002,Electric arc
MA,33.592793,-7.475613,Tit Mellil,Electric arc,1000.0,kt/yr,exact,SMA00001,Electric arc
NG,5.480763,5.769839,Warri,DRI + Electric arc,1300.0,kt/yr,exact,SNG00001,DRI + Electric arc
ZA,-27.705376,30.014063,Newcastle,Integrated steelworks,1900.0,kt/yr,exact,SZA00001,Integrated steelworks
ZA,-25.796313,29.497972,Middelburg,Electric arc,750.0,kt/yr,exact,SZA00003,Electric arc
