,MA,MA,MA,MA,MA,MA,MA,MA,MA,MA,MA,MA,MA,MA,MA,MA,MA,MA,MA,MA,MA,MA,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE
,Alumina production,Aluminium - primary production,Aluminium - secondary production,Ammonia,Basic chemicals (without ammonia),Cement,Ceramics & other NMM,Electric arc,"Food, beverages and tobacco",Glass production,Integrated steelworks,Machinery Equipment,Other Industrial Sectors,Other chemicals,Other non-ferrous metals,Paper production,Pharmaceutical products etc.,Printing and media reproduction,Pulp production,Textiles and leather,Transport Equipment,Wood and wood products,Alumina production,Aluminium - primary production,Aluminium - secondary production,Ammonia,Basic chemicals (without ammonia),Cement,Ceramics & other NMM,Electric arc,"Food, beverages and tobacco",Glass production,Integrated steelworks,Machinery Equipment,Other Industrial Sectors,Other chemicals,Other non-ferrous metals,Paper production,Pharmaceutical products etc.,Printing and media reproduction,Pulp production,Textiles and leather,Transport Equipment,Wood and wood products,Alumina production,Aluminium - primary production,Aluminium - secondary production,Ammonia,Basic chemicals (without ammonia),Cement,Ceramics & other NMM,Electric arc,"Food, beverages and tobacco",Glass production,Integrated steelworks,Machinery Equipment,Other Industrial Sectors,Other chemicals,Other non-ferrous metals,Paper production,Pharmaceutical products etc.,Printing and media reproduction,Pulp production,Textiles and leather,Transport Equipment,Wood and wood products,Alumina production,Aluminium - primary production,Aluminium - secondary production,Ammonia,Basic chemicals (without ammonia),Cement,Ceramics & other NMM,Electric arc,"Food, beverages and tobacco",Glass production,Integrated steelworks,Machinery Equipment,Other Industrial Sectors,Other chemicals,Other non-ferrous metals,Paper production,Pharmaceutical products etc.,Printing and media reproduction,Pulp production,Textiles and leather,Transport Equipment,Wood and wood products
TWh/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass,0.000000443,0.000000073,0.00000138,0,0.000424004,0.014562304,0.009070362,0.00000838,0.007281853,0.0000817,0.0000355,0.00027321,0.012909986,0.0000236,0.00000244,0.000615513,0.00000131,0.000000175,0.000785051,0.00000991,0,0.079604028,0.000000443,0.000000073,0.00000138,0,0.000424004,0.014562304,0.009070362,0.00000838,0.007281853,0.0000817,0.0000355,0.00027321,0.012909986,0.0000236,0.00000244,0.000615513,0.00000131,0.000000175,0.000785051,0.00000991,0,0.079604028,0.000000443,0.000000073,0.00000138,0,0.000424004,0.014562304,0.009070362,0.00000838,0.007281853,0.0000817,0.0000355,0.00027321,0.012909986,0.0000236,0.00000244,0.000615513,0.00000131,0.000000175,0.000785051,0.00000991,0,0.079604028,0.000000443,0.000000073,0.00000138,0,0.000424004,0.014562304,0.009070362,0.00000838,0.007281853,0.0000817,0.0000355,0.00027321,0.012909986,0.0000236,0.00000244,0.000615513,0.00000131,0.000000175,0.000785051,0.00000991,0,0.079604028
electricity,0.00167075,0.007225058,0.000715821,0,0.012368675,0.015033125,0.036192409,0.008887905,0.073736809,0.04160302,0.008320977,0.021218762,0.081719799,0.00575107,0.007880344,0.000581215,0.000536908,0.000127599,0.000462833,0.001007007,0,0.034743235,0.00167075,0.007225058,0.000715821,0,0.012368675,0.015033125,0.036192409,0.008887905,0.073736809,0.04160302,0.008320977,0.021218762,0.081719799,0.00575107,0.007880344,0.000581215,0.000536908,0.000127599,0.000462833,0.001007007,0,0.034743235,0.00167075,0.007225058,0.000715821,0,0.012368675,0.015033125,0.036192409,0.008887905,0.073736809,0.04160302,0.008320977,0.021218762,0.081719799,0.00575107,0.007880344,0.000581215,0.000536908,0.000127599,0.000462833,0.001007007,0,0.034743235,0.00167075,0.007225058,0.000715821,0,0.012368675,0.015033125,0.036192409,0.008887905,0.073736809,0.04160302,0.008320977,0.021218762,0.081719799,0.00575107,0.007880344,0.000581215,0.000536908,0.000127599,0.000462833,0.001007007,0,0.034743235
gas,0.003383216,0.000798859,0.000744922,0,0.014265336,0.013162391,0.09880673,0.00441231,0.102024313,0.094053235,0.023756332,0.013532324,0.03859072,0.005029515,0.005114438,0.000795865,0.000283471,0.0000133,0.00000556,0.001201306,0,0.008423794,0.003383216,0.000798859,0.000744922,0,0.014265336,0.013162391,0.09880673,0.00441231,0.102024313,0.094053235,0.023756332,0.013532324,0.03859072,0.005029515,0.005114438,0.000795865,0.000283471,0.0000133,0.00000556,0.001201306,0,0.008423794,0.003383216,0.000798859,0.000744922,0,0.014265336,0.013162391,0.09880673,0.00441231,0.102024313,0.094053235,0.023756332,0.013532324,0.03859072,0.005029515,0.005114438,0.000795865,0.000283471,0.0000133,0.00000556,0.001201306,0,0.008423794,0.003383216,0.000798859,0.000744922,0,0.014265336,0.013162391,0.09880673,0.00441231,0.102024313,0.094053235,0.023756332,0.013532324,0.03859072,0.005029515,0.005114438,0.000795865,0.000283471,0.0000133,0.00000556,0.001201306,0,0.008423794
heat,0.0000742,0.0000126,0.0000178,0,0.009369484,0.001614481,0.002692965,0.000239566,0.009359224,0,0.00069576,0.001163748,0.01263928,0.000460123,0.00034936,0.00027002,0,0,0.00000655,0.000100549,0,0.00773837,0.0000742,0.0000126,0.0000178,0,0.009369484,0.001614481,0.002692965,0.000239566,0.009359224,0,0.00069576,0.001163748,0.01263928,0.000460123,0.00034936,0.00027002,0,0,0.00000655,0.000100549,0,0.00773837,0.0000742,0.0000126,0.0000178,0,0.009369484,0.001614481,0.002692965,0.000239566,0.009359224,0,0.00069576,0.001163748,0.01263928,0.000460123,0.00034936,0.00027002,0,0,0.00000655,0.000100549,0,0.00773837,0.0000742,0.0000126,0.0000178,0,0.009369484,0.001614481,0.002692965,0.000239566,0.009359224,0,0.00069576,0.001163748,0.01263928,0.000460123,0.00034936,0.00027002,0,0,0.00000655,0.000100549,0,0.00773837
liquid,0.000370704,0.0000661,0.0000702,0,0.093957337,0.067656291,0.039002485,0.000239843,0.013553277,0.001029566,0.001340687,0.00219272,0.061242052,0.00051374,0.000429056,0.0000828,0.000021,0.000000386,0.000000304,0.000142952,0,0.003450015,0.000370704,0.0000661,0.0000702,0,0.093957337,0.067656291,0.039002485,0.000239843,0.013553277,0.001029566,0.001340687,0.00219272,0.061242052,0.00051374,0.000429056,0.0000828,0.000021,0.000000386,0.000000304,0.000142952,0,0.003450015,0.000370704,0.0000661,0.0000702,0,0.093957337,0.067656291,0.039002485,0.000239843,0.013553277,0.001029566,0.001340687,0.00219272,0.061242052,0.00051374,0.000429056,0.0000828,0.000021,0.000000386,0.000000304,0.000142952,0,0.003450015,0.000370704,0.0000661,0.0000702,0,0.093957337,0.067656291,0.039002485,0.000239843,0.013553277,0.001029566,0.001340687,0.00219272,0.061242052,0.00051374,0.000429056,0.0000828,0.000021,0.000000386,0.000000304,0.000142952,0,0.003450015
other,0.000000272,0.000000138,1.27E-19,0,0.00000016,0.0000000909,0.000000523,2.65E-19,0.0000113,0.000000154,-1.66E-18,0.00000215,0.000104307,0.0000000539,0.000000333,0.00000000107,0.00000000442,0.00000000135,3.63E-10,0.0000000801,0,0.000000408,0.000000272,0.000000138,1.27E-19,0,0.00000016,0.0000000909,0.000000523,2.65E-19,0.0000113,0.000000154,-1.66E-18,0.00000215,0.000104307,0.0000000539,0.000000333,0.00000000107,0.00000000442,0.00000000135,3.63E-10,0.0000000801,0,0.000000408,0.000000272,0.000000138,1.27E-19,0,0.00000016,0.0000000909,0.000000523,2.65E-19,0.0000113,0.000000154,-1.66E-18,0.00000215,0.000104307,0.0000000539,0.000000333,0.00000000107,0.00000000442,0.00000000135,3.63E-10,0.0000000801,0,0.000000408,0.000000272,0.000000138,1.27E-19,0,0.00000016,0.0000000909,0.000000523,2.65E-19,0.0000113,0.000000154,-1.66E-18,0.00000215,0.000104307,0.0000000539,0.000000333,0.00000000107,0.00000000442,0.00000000135,3.63E-10,0.0000000801,0,0.000000408
solid,0.00056962,0.0000914,0.0000331,0,0.005000674,0.041413618,0.029550535,0.000238646,0.009538466,0,0.043145938,0.000219113,0.004938748,0.000118443,0.000342431,0.000120597,0,0,0.00000291,0.0000355,0,0.00070202,0.00056962,0.0000914,0.0000331,0,0.005000674,0.041413618,0.029550535,0.000238646,0.009538466,0,0.043145938,0.000219113,0.004938748,0.000118443,0.000342431,0.000120597,0,0,0.00000291,0.0000355,0,0.00070202,0.00056962,0.0000914,0.0000331,0,0.005000674,0.041413618,0.029550535,0.000238646,0.009538466,0,0.043145938,0.000219113,0.004938748,0.000118443,0.000342431,0.000120597,0,0,0.00000291,0.0000355,0,0.00070202,0.00056962,0.0000914,0.0000331,0,0.005000674,0.041413618,0.029550535,0.000238646,0.009538466,0,0.043145938,0.000219113,0.004938748,0.000118443,0.000342431,0.000120597,0,0,0.00000291,0.0000355,0,0.00070202
waste,0.0000113,0.00000201,0.00000586,0,0.00062152,0.032465762,0.005896903,0.00000379,0.0000528,0,0.0000787,0.000008,0.000918788,0,0.0000134,0.00000762,0,0,0.00000602,0.0000000133,0,0.000623358,0.0000113,0.00000201,0.00000586,0,0.00062152,0.032465762,0.005896903,0.00000379,0.0000528,0,0.0000787,0.000008,0.000918788,0,0.0000134,0.00000762,0,0,0.00000602,0.0000000133,0,0.000623358,0.0000113,0.00000201,0.00000586,0,0.00062152,0.032465762,0.005896903,0.00000379,0.0000528,0,0.0000787,0.000008,0.000918788,0,0.0000134,0.00000762,0,0,0.00000602,0.0000000133,0,0.000623358,0.0000113,0.00000201,0.00000586,0,0.00062152,0.032465762,0.005896903,0.00000379,0.0000528,0,0.0000787,0.000008,0.000918788,0,0.0000134,0.00000762,0,0,0.00000602,0.0000000133,0,0.000623358
