MWh/tMaterial,Electric arc,DRI + Electric arc,Integrated steelworks,HVC,HVC (mechanical recycling),HVC (chemical recycling),Ammonia,Chlorine,Methanol,Other chemicals,Pharmaceutical products etc.,Cement,Ceramics & other NMM,Glass production,Pulp production,Paper production,Printing and media reproduction,"Food, beverages and tobacco",Alumina production,Aluminium - primary production,Aluminium - secondary production,Other non-ferrous metals,Transport Equipment,Machinery Equipment,Textiles and leather,Wood and wood products,Other Industrial Sectors
elec,1.08131011263201,1.40331011263201,1.02081290065712,2.85171802237564,0.547,6.9,1.17,3.6,0.167,4.59413467649299,2.74571454900933,0.061927560760266,0.444131182274648,2.07129313682578,1.18836563342834,0.671816951975397,2.58433845085736,0.609579312924535,1.7148611860778,13.6682779635768,1.70679863625316,3.21870208268845,0.26360808307069,0.302321103903853,0.465709368129419,0.959299391661276,1.28392230762155
coal,0,0,1.37700428586814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coke,0,0,1.31179002640128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass,0,0,0,0,0,0,0,0,0,0,0,0.197014429694347,0,0,2.11770263341691,2.3556399768381,0,0.639097011494721,0,0,0,0,0.063791711155947,0.046328443575653,0.25434164393245,1.81917612747947,0.385739912368899
gas,0.22647645142597,0.22647645142597,0.223726256567725,4.07019298065976,0,0,0,0,10.25,0,0,0.517919514482129,0,0,0,0,0,0,2.33849373100086,0,0,0,0,0,0,0,0
hydrogen,0,1.7,0,0.000172661076923,0,0,6.5,-0.9372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat,0.003017860956765,0.003017860956765,0.005250701955935,0.246660062683918,0,0,0,0,0,0.14504371624202,0.093834952759942,0.002137249780593,0.002499487519859,0.017944882377285,0.039954020725194,0.03386441536949,0.726758205777018,0.026536577121055,0.00315480532373,0.010242405894815,0.002131812723607,0.003474096021933,0.010264108163452,0.010450031028829,0.060237643860528,0.058567765114422,0.042513616053224
oil,0,0,0,14.0078364473941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
process emission,0.027663169349199,0.027663169349199,0.216388525166488,0.024489586623069,0,0,0,0,0,6.86721429642212E-05,0,0.542433217279835,0.031681531903839,0.102551470416709,0,0,0,0,0,1.49134585796386,0,0.169966661912688,0,0,0,0,0
process emission from feedstock,0,0,0,0.490384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
