,state,nrel_sum,mod_sum,corr_with_model,scaling_cooling,bus,x,y,full_name
0,FL,51212623084.488174,2040128495.253839,0.9166534655752998,25.102645840019083,US.10_1,-81.686783,27.766279,Florida
1,GA,13633804373.049929,886951410.4677411,0.9244676382178127,15.371534688535,US.11_1,-83.643074,33.040619,Georgia
2,HI,0.0,0.0,,1.0,US.12_1,,,
3,ID,779415622.4368076,31919900.94179267,0.7671787895310557,24.417858434401342,US.13_1,-114.478828,44.240459,Idaho
4,IL,10657820819.365858,558405761.9111509,0.8411763276253724,19.086158392938728,US.14_1,-88.986137,40.349457,Illinois
5,IN,5702944560.390706,154533348.9652429,0.804262633853229,36.904296700859,US.15_1,-86.258278,39.849426,Indiana
6,IA,1944834431.7214885,80453883.78925002,0.7488126394836312,24.173282135341125,US.16_1,-93.210526,42.011539,Iowa
7,KS,3319104782.0481167,236772368.18539497,0.8578956798272936,14.01812554178293,US.17_1,-96.726486,38.5266,Kansas
8,KY,4150427672.108834,145242294.03463417,0.8598479011727883,28.57588899772632,US.18_1,-84.670067,37.66814,Kentucky
9,LA,8599832954.705832,359797045.1413765,0.9229014268837232,23.901899892831707,US.19_1,-91.867805,31.169546,Louisiana
10,AL,6996446630.911325,331732643.49596447,0.9125581354951836,21.09061850886688,US.1_1,-86.79113,32.806671,Alabama
11,ME,701232885.4304993,1963624.1675405863,0.5319293798356081,357.11155781342023,US.20_1,-69.381927,44.693947,Maine
12,MD,5810783800.20285,35322564.698861726,0.8416088053777494,164.50628230826354,US.21_1,-76.802101,39.063946,Maryland
13,MA,4887859592.156133,12568609.726177083,0.7412104890299354,388.894213333398,US.22_1,-71.530106,42.230171,Massachusetts
14,MI,6149513072.4381275,108941921.7790634,0.6470217553450005,56.447627983922246,US.23_1,-84.536095,43.326618,Michigan
15,MN,3249877727.8924084,63651062.79254556,0.6117823256835802,51.0577134978022,US.24_1,-93.900192,45.694454,Minnesota
16,MS,4005943277.154782,177124640.42156905,0.9214327987046808,22.616521719509812,US.25_1,-89.678696,32.741646,Mississippi
17,MO,7347387872.103613,416159252.2232836,0.8697325827593003,17.65523133956779,US.26_1,-92.288368,38.456085,Missouri
18,MT,287766296.70463115,16860188.9701505,0.5673537990312767,17.067797829199684,US.27_1,-110.454353,46.921925,Montana
19,NE,1507046685.6869006,62328076.32750681,0.745466865584428,24.179258762423995,US.28_1,-98.268082,41.12537,Nebraska
20,NV,5292367535.0573015,407184621.8909712,0.8062239973185744,12.997464173571858,US.29_1,-117.055374,38.313515,Nevada
21,AK,0.0,0.0,,1.0,US.2_1,,,
22,NH,640653832.8957467,2041171.26837715,0.6703318535828531,313.8657901083939,US.30_1,-71.563896,43.452492,New Hampshire
23,NJ,8546380229.294758,34275420.58058749,0.8221388639507425,249.344284753581,US.31_1,-74.521011,40.298904,New Jersey
24,NM,1688071341.1171982,199660413.98097205,0.849808574360015,8.454712215903118,US.32_1,-106.248482,34.840515,New Mexico
25,NY,18147793999.557728,148745778.81488124,0.6270850067631778,122.0054387031932,US.33_1,-74.948051,42.165726,New York
26,NC,11810101042.710424,415062768.79467183,0.8881144687388004,28.45377116576019,US.34_1,-79.806419,35.630066,North Carolina
27,ND,335712133.97069335,5712574.609072653,0.5107158217288486,58.76722090202879,US.35_1,-99.784012,47.528912,North Dakota
28,OH,9763812273.36759,190524520.78349367,0.7260456539994878,51.2470113202011,US.36_1,-82.764915,40.388783,Ohio
29,OK,5492319918.462645,399395500.4436273,0.9061959488379344,13.751581858989567,US.37_1,-96.928917,35.565342,Oklahoma
30,OR,1970762609.0474489,79899166.26456709,0.6776504294418951,24.665621697750097,US.38_1,-122.070938,44.572021,Oregon
31,PA,11162496773.44019,138286296.44930616,0.7031539594627148,80.7201946979049,US.39_1,-77.209755,40.590752,Pennsylvania
32,AZ,11140324545.973522,1590955621.0596871,0.9183854246831974,7.002284915121197,US.3_1,-111.431221,33.729759,Arizona
33,SC,7974164008.98634,203508633.986173,0.922862208916524,39.18341867268456,US.41_1,-80.945007,33.856892,South Carolina
34,SD,402474887.55128074,18050932.564362027,0.6638052447947216,22.29662573477712,US.42_1,-99.438828,44.299782,South Dakota
35,TN,8657026773.867153,240138654.54398507,0.8836433254955347,36.050117755121704,US.43_1,-86.692345,35.747845,Tennessee
36,TX,51767029521.496445,15530487460.962814,0.9141578342966568,3.333252072841707,US.44_1,-97.563461,31.054487,Texas
37,UT,1983496764.6663325,194143696.3569669,0.8307014790802579,10.216642630617937,US.45_1,-111.862434,40.150032,Utah
38,VT,246350770.08455873,829034.8183831008,0.5725930559997996,297.1537076874845,US.46_1,-72.710686,44.045876,Vermont
39,VA,9191705375.216768,188624984.8028183,0.824953043206232,48.730052303651306,US.47_1,-78.169968,37.769337,Virginia
40,WA,2813864626.622603,104014157.68922068,0.721973465303971,27.052707911455915,US.48_1,-121.490494,47.400902,Washington
41,WV,1644308080.8300748,11641543.41073494,0.688974995422297,141.2448524062385,US.49_1,-80.954453,38.491226,West Virginia
42,AR,3301014671.470572,208468013.8066303,0.9234455054033828,15.83463386633745,US.4_1,-92.373123,34.969704,Arkansas
43,WI,2916588496.146475,56324293.59102096,0.6071027981590366,51.78206969312844,US.50_1,-89.616508,44.268543,Wisconsin
44,WY,205796659.02546173,5413774.2143490035,0.5328844879601453,38.01352824800219,US.51_1,-107.30249,42.755966,Wyoming
45,CA,28900621970.9046,6829443967.213501,0.9301335520979632,4.231767931569459,US.5_1,-119.681564,36.116203,California
46,CO,3368302649.043189,147426887.68207058,0.7554406958790274,22.84727502561819,US.6_1,-105.311104,39.059811,Colorado
47,CT,2621421815.505722,5468708.937547496,0.7445357119251521,479.34930263107555,US.7_1,-72.755371,41.597782,Connecticut
