,state,nrel_sum,mod_sum,corr_with_model,scaling_heating,bus,x,y,full_name
0,FL,7828303218.713948,617452270.5922348,0.962729466939606,12.678394090615882,US.10_1,-81.686783,27.766279,Florida
1,GA,25369725963.835114,1220150823.40794,0.9598588806624532,20.79228688546572,US.11_1,-83.643074,33.040619,Georgia
2,HI,0.0,0.0,,1.0,US.12_1,,,
3,ID,11005065121.828407,1602511983.0945415,0.9648332129606152,6.867383980852987,US.13_1,-114.478828,44.240459,Idaho
4,IL,123330557222.8331,5306681357.214029,0.9781490493428316,23.240618556298767,US.14_1,-88.986137,40.349457,Illinois
5,IN,58957939555.444435,1614307886.1655688,0.9789865265145692,36.5221158000324,US.15_1,-86.258278,39.849426,Indiana
6,IA,36562303797.22383,1608047099.1355906,0.9832485376553032,22.73708513692042,US.16_1,-93.210526,42.011539,Iowa
7,KS,26567324589.291527,1461614612.2312818,0.979567102147239,18.176696077726124,US.17_1,-96.726486,38.5266,Kansas
8,KY,25465800655.596226,841884825.900445,0.9772991419059884,30.248556420243187,US.18_1,-84.670067,37.66814,Kentucky
9,LA,7943414714.34416,278659582.45082694,0.9693946615954024,28.505801395672,US.19_1,-91.867805,31.169546,Louisiana
10,AL,11594310016.204945,500757211.2996199,0.972442305281484,23.15355576430766,US.1_1,-86.79113,32.806671,Alabama
11,ME,16490422233.249386,461208215.2743865,0.9711278296809756,35.754831954670934,US.20_1,-69.381927,44.693947,Maine
12,MD,34049368254.774208,271665819.8692826,0.9747610301779894,125.3354885467658,US.21_1,-76.802101,39.063946,Maryland
13,MA,61017851314.56543,362700481.8257913,0.9791448448266172,168.2320657734139,US.22_1,-71.530106,42.230171,Massachusetts
14,MI,113292361566.02068,9861382558.84053,0.9641121511475622,11.488486618385611,US.23_1,-84.536095,43.326618,Michigan
15,MN,71551220869.05229,6100395963.981094,0.9817194283250216,11.728946988280128,US.24_1,-93.900192,45.694454,Minnesota
16,MS,7629128444.67647,247686720.2510081,0.9716644607323424,30.801523945026357,US.25_1,-89.678696,32.741646,Mississippi
17,MO,49150806084.84227,2384083112.553725,0.9805796284413169,20.61623012470991,US.26_1,-92.288368,38.456085,Missouri
18,MT,11804313282.105211,1824363484.6295936,0.982111675826159,6.4703735749797024,US.27_1,-110.454353,46.921925,Montana
19,NE,21362344819.003067,1281043564.8442836,0.9740648755391524,16.675736411508964,US.28_1,-98.268082,41.12537,Nebraska
20,NV,5171264043.041712,2995238305.1813407,0.9320179618974628,1.7264950284911065,US.29_1,-117.055374,38.313515,Nevada
