,index,converter_id,bus0,bus1,underground,under_construction,country,geometry
0,0,convert_7_18,18,17,False,False,ID,"LINESTRING (106.8672 -6.2771, 106.8662 -6.2781)"
1,1,convert_412_577,577,576,False,False,TH,"LINESTRING (100.4315 6.6832, 100.4305 6.6822)"
2,2,convert_599_890,890,889,False,False,MY,"LINESTRING (100.5076 5.7322, 100.5066 5.7312)"
3,3,convert_825_1275,1275,1274,False,False,PH,"LINESTRING (123.9059 10.3276, 123.9049 10.3266)"
4,4,convert_827_1284,1284,1283,False,False,PH,"LINESTRING (123.6976 10.3254, 123.6966 10.3244)"
5,5,convert_836_1308,1308,1307,False,False,PH,"LINESTRING (122.8729 11.0361, 122.8719 11.0351)"
6,6,convert_882_1410,1410,1409,False,False,PH,"LINESTRING (123.2491 13.6009, 123.2481 13.5999)"
7,7,convert_893_1433,1433,1432,False,False,PH,"LINESTRING (124.6402 11.1085, 124.6392 11.1075)"
8,8,convert_927_1485,1485,1484,False,False,PH,"LINESTRING (121.4325 12.8687, 121.4315 12.8677)"
9,9,convert_928_1487,1487,1486,False,False,PH,"LINESTRING (121.2753 12.286, 121.2743 12.285)"
10,10,convert_929_1490,1490,1489,False,False,PH,"LINESTRING (119.3648 10.5794, 119.3638 10.5784)"
11,11,convert_933_1498,1498,1497,False,False,PH,"LINESTRING (121.9679 11.9239, 121.9669 11.9229)"
12,12,convert_935_1501,1501,1500,False,False,PH,"LINESTRING (124.2804 12.5514, 124.2794 12.5504)"
13,13,convert_942_1511,1511,1510,False,False,PH,"LINESTRING (123.8091 7.9165, 123.8081 7.9155)"
14,14,convert_951_1524,1524,1523,False,False,PH,"LINESTRING (123.4414 10.0375, 123.4404 10.0365)"
15,15,convert_1042_1636,1636,1635,False,False,PH,"LINESTRING (122.9664 10.8969, 122.9654 10.8959)"
16,16,convert_1384_2006,2006,2007,False,False,TH,"LINESTRING (99.858 9.2332, 99.859 9.2342)"
