,index,converter_id,bus0,bus1,underground,under_construction,country,geometry
0,0,convert_7_14,14,13,False,False,ID,"LINESTRING (106.8917 -6.1951, 106.8907 -6.1961)"
1,1,convert_732_1037,1037,1036,False,False,MY,"LINESTRING (100.5137 5.7447, 100.5127 5.7437)"
2,2,convert_1163_1747,1747,1746,False,False,PH,"LINESTRING (123.9059 10.3276, 123.9049 10.3266)"
3,3,convert_1174_1776,1776,1775,False,False,PH,"LINESTRING (122.8729 11.0361, 122.8719 11.0351)"
4,4,convert_1216_1867,1867,1866,False,False,PH,"LINESTRING (123.6801 10.3523, 123.6791 10.3513)"
5,5,convert_1243_1917,1917,1916,False,False,PH,"LINESTRING (124.6402 11.1085, 124.6392 11.1075)"
6,6,convert_1339_2052,2052,2051,False,False,PH,"LINESTRING (123.2406 13.6153, 123.2396 13.6143)"
7,7,convert_1345_2061,2061,2060,False,False,PH,"LINESTRING (121.4325 12.8687, 121.4315 12.8677)"
8,8,convert_1346_2063,2063,2062,False,False,PH,"LINESTRING (121.2753 12.286, 121.2743 12.285)"
9,9,convert_1347_2066,2066,2065,False,False,PH,"LINESTRING (119.3648 10.5794, 119.3638 10.5784)"
10,10,convert_1351_2074,2074,2073,False,False,PH,"LINESTRING (121.9679 11.9239, 121.9669 11.9229)"
11,11,convert_1353_2077,2077,2076,False,False,PH,"LINESTRING (124.275 12.5689, 124.274 12.5679)"
12,12,convert_1360_2087,2087,2086,False,False,PH,"LINESTRING (123.8138 7.9179, 123.8128 7.9169)"
13,13,convert_1371_2102,2102,2101,False,False,PH,"LINESTRING (123.4414 10.0375, 123.4404 10.0365)"
14,14,convert_1475_2227,2227,2226,False,False,PH,"LINESTRING (122.9664 10.8969, 122.9654 10.8959)"
15,15,convert_1891_2680,2680,2679,False,False,TH,"LINESTRING (100.4491 6.7154, 100.4481 6.7144)"
16,16,convert_1910_2703,2703,2704,False,False,TH,"LINESTRING (99.858 9.2332, 99.859 9.2342)"
