,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
5521,transf_0_0,0,1,70000,150000,ID,"LINESTRING (125.0948 1.6582, 125.0958 1.6592)","MULTIPOINT ((125.0948 1.6582), (125.0958 1.6592))",POINT (125.0948 1.6582),POINT (125.0958 1.6592),125.0948,1.6582,125.0958,1.6592
5522,transf_3_0,4,5,150000,500000,ID,"LINESTRING (110.4414 -7.1898, 110.4424 -7.1888)","MULTIPOINT ((110.4414 -7.1898), (110.4424 -7.1888))",POINT (110.4414 -7.1898),POINT (110.4424 -7.1888),110.4414,-7.1898,110.4424,-7.1888
5523,transf_6_0,8,9,70000,150000,ID,"LINESTRING (112.6792 -7.3216, 112.6802 -7.3206)","MULTIPOINT ((112.6792 -7.3216), (112.6802 -7.3206))",POINT (112.6792 -7.3216),POINT (112.6802 -7.3206),112.6792,-7.3216,112.6802,-7.3206
5524,transf_6_1,9,10,150000,500000,ID,"LINESTRING (112.6802 -7.3206, 112.6812 -7.3196)","MULTIPOINT ((112.6802 -7.3206), (112.6812 -7.3196))",POINT (112.6802 -7.3206),POINT (112.6812 -7.3196),112.6802,-7.3206,112.6812,-7.3196
5525,transf_7_0,11,12,70000,150000,ID,"LINESTRING (106.8887 -6.1981, 106.8897 -6.1971)","MULTIPOINT ((106.8887 -6.1981), (106.8897 -6.1971))",POINT (106.8887 -6.1981),POINT (106.8897 -6.1971),106.8887,-6.1981,106.8897,-6.1971
5526,transf_7_1,12,13,150000,500000,ID,"LINESTRING (106.8897 -6.1971, 106.8907 -6.1961)","MULTIPOINT ((106.8897 -6.1971), (106.8907 -6.1961))",POINT (106.8897 -6.1971),POINT (106.8907 -6.1961),106.8897,-6.1971,106.8907,-6.1961
5527,transf_11_0,18,19,70000,150000,ID,"LINESTRING (107.718 -6.9531, 107.719 -6.9521)","MULTIPOINT ((107.718 -6.9531), (107.719 -6.9521))",POINT (107.718 -6.9531),POINT (107.719 -6.9521),107.718,-6.9531,107.719,-6.9521
5528,transf_11_1,19,20,150000,500000,ID,"LINESTRING (107.719 -6.9521, 107.72 -6.9511)","MULTIPOINT ((107.719 -6.9521), (107.72 -6.9511))",POINT (107.719 -6.9521),POINT (107.72 -6.9511),107.719,-6.9521,107.72,-6.9511
5529,transf_13_0,22,23,70000,150000,ID,"LINESTRING (106.766 -6.8656, 106.767 -6.8646)","MULTIPOINT ((106.766 -6.8656), (106.767 -6.8646))",POINT (106.766 -6.8656),POINT (106.767 -6.8646),106.766,-6.8656,106.767,-6.8646
5530,transf_16_0,26,27,150000,500000,ID,"LINESTRING (106.4863 -6.207, 106.4873 -6.206)","MULTIPOINT ((106.4863 -6.207), (106.4873 -6.206))",POINT (106.4863 -6.207),POINT (106.4873 -6.206),106.4863,-6.207,106.4873,-6.206
5531,transf_17_0,28,29,70000,150000,ID,"LINESTRING (106.7971 -6.408, 106.7981 -6.407)","MULTIPOINT ((106.7971 -6.408), (106.7981 -6.407))",POINT (106.7971 -6.408),POINT (106.7981 -6.407),106.7971,-6.408,106.7981,-6.407
5532,transf_17_1,29,30,150000,500000,ID,"LINESTRING (106.7981 -6.407, 106.7991 -6.406)","MULTIPOINT ((106.7981 -6.407), (106.7991 -6.406))",POINT (106.7981 -6.407),POINT (106.7991 -6.406),106.7981,-6.407,106.7991,-6.406
5533,transf_18_0,31,32,150000,500000,ID,"LINESTRING (106.7806 -6.3392, 106.7816 -6.3382)","MULTIPOINT ((106.7806 -6.3392), (106.7816 -6.3382))",POINT (106.7806 -6.3392),POINT (106.7816 -6.3382),106.7806,-6.3392,106.7816,-6.3382
5534,transf_19_0,33,34,70000,150000,ID,"LINESTRING (106.8979 -6.4326, 106.8989 -6.4316)","MULTIPOINT ((106.8979 -6.4326), (106.8989 -6.4316))",POINT (106.8979 -6.4326),POINT (106.8989 -6.4316),106.8979,-6.4326,106.8989,-6.4316
5535,transf_19_1,34,35,150000,500000,ID,"LINESTRING (106.8989 -6.4316, 106.8999 -6.4306)","MULTIPOINT ((106.8989 -6.4316), (106.8999 -6.4306))",POINT (106.8989 -6.4316),POINT (106.8999 -6.4306),106.8989,-6.4316,106.8999,-6.4306
5536,transf_20_0,36,37,150000,500000,ID,"LINESTRING (106.0106 -5.988, 106.0116 -5.987)","MULTIPOINT ((106.0106 -5.988), (106.0116 -5.987))",POINT (106.0106 -5.988),POINT (106.0116 -5.987),106.0106,-5.988,106.0116,-5.987
5537,transf_24_0,41,42,150000,500000,ID,"LINESTRING (108.6163 -6.7797, 108.6173 -6.7787)","MULTIPOINT ((108.6163 -6.7797), (108.6173 -6.7787))",POINT (108.6163 -6.7797),POINT (108.6173 -6.7787),108.6163,-6.7797,108.6173,-6.7787
5538,transf_25_0,43,44,70000,150000,ID,"LINESTRING (119.8892 -0.8762, 119.8902 -0.8752)","MULTIPOINT ((119.8892 -0.8762), (119.8902 -0.8752))",POINT (119.8892 -0.8762),POINT (119.8902 -0.8752),119.8892,-0.8762,119.8902,-0.8752
5539,transf_26_0,45,46,70000,150000,ID,"LINESTRING (107.5655 -6.8832, 107.5665 -6.8822)","MULTIPOINT ((107.5655 -6.8832), (107.5665 -6.8822))",POINT (107.5655 -6.8832),POINT (107.5665 -6.8822),107.5655,-6.8832,107.5665,-6.8822
5540,transf_30_0,50,51,150000,500000,ID,"LINESTRING (110.7467 -6.4483, 110.7477 -6.4473)","MULTIPOINT ((110.7467 -6.4483), (110.7477 -6.4473))",POINT (110.7467 -6.4483),POINT (110.7477 -6.4473),110.7467,-6.4483,110.7477,-6.4473
5541,transf_37_0,58,59,70000,150000,ID,"LINESTRING (112.5648 -7.8982, 112.5658 -7.8972)","MULTIPOINT ((112.5648 -7.8982), (112.5658 -7.8972))",POINT (112.5648 -7.8982),POINT (112.5658 -7.8972),112.5648,-7.8982,112.5658,-7.8972
5542,transf_41_0,63,64,70000,150000,ID,"LINESTRING (119.5956 -4.7979, 119.5966 -4.7969)","MULTIPOINT ((119.5956 -4.7979), (119.5966 -4.7969))",POINT (119.5956 -4.7979),POINT (119.5966 -4.7969),119.5956,-4.7979,119.5966,-4.7969
5543,transf_46_0,69,70,150000,275000,ID,"LINESTRING (119.7526 -3.9169, 119.7536 -3.9159)","MULTIPOINT ((119.7526 -3.9169), (119.7536 -3.9159))",POINT (119.7526 -3.9169),POINT (119.7536 -3.9159),119.7526,-3.9169,119.7536,-3.9159
5544,transf_52_0,76,77,150000,500000,ID,"LINESTRING (108.4845 -6.819, 108.4855 -6.818)","MULTIPOINT ((108.4845 -6.819), (108.4855 -6.818))",POINT (108.4845 -6.819),POINT (108.4855 -6.818),108.4845,-6.819,108.4855,-6.818
