,id,Type,Region,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.power,tags.location,tags.generator:solar:tracking,other_tags,geometry,Country
389,990605656,area,MM,combustion,118.0,gas,combined_cycle,generator,NULL,NULL,NULL,"POLYGON ((97.40727479999997 16.964431699999942, 97.40599749999997 16.96443159999994, 97.40600819999997 16.96352079999994, 97.40728429999997 16.963505399999942, 97.40727479999997 16.964431699999942))",MM
397,1303715731,area,MM,photovoltaic,40.0,solar,solar_photovoltaic_panel,generator,NULL,NULL,"{ ""tags.operator"": ""Golden Future Linkage Co. Ltd."", ""tags.description"": ""ဗိုလ်ချုပ်မှူးကြီး မင်းအောင်လှိုင်၏ သား ဦးအောင်ပြည့်စုံပိုင် Golden Future Linkage ကုမ္ပဏီ နှင့် တရုတ်ကုမ္ပဏီ China Energy Engineering Corporation Limited (CEEC) တို့ပူးပေါင်းဆောင်ရွက်သည်။ ၂၃၀ ဧက"" }","POLYGON ((96.00798219999994 20.97813939999995, 96.01677989999995 20.97921329999995, 96.017452 20.976047399999953, 96.00847509999996 20.975252499999954, 96.00798219999994 20.97813939999995))",MM
399,2324482661,node,MM,combustion,18.0,gas,gas_turbine,generator,NULL,NULL,NULL,POINT (95.22854559999996 18.727347899999945),MM
422,7735218576,node,MM,run-of-the-river,33.0,hydro,pelton_turbine,generator,NULL,NULL,NULL,POINT (98.08028439999975 25.83152029999993),MM
424,9147172461,node,MM,run-of-the-river,33.0,hydro,pelton_turbine,generator,NULL,NULL,NULL,POINT (98.08018679999978 25.83171459999994),MM
425,9147172462,node,MM,run-of-the-river,33.0,hydro,pelton_turbine,generator,NULL,NULL,NULL,POINT (98.08022979999978 25.83162279999994),MM
426,9149467153,node,MM,combustion,25.0,gas,gas_turbine,generator,NULL,NULL,NULL,POINT (96.26542839999996 16.66331309999996),MM
427,9149467154,node,MM,combustion,25.0,gas,gas_turbine,generator,NULL,NULL,NULL,POINT (96.265313 16.66354949999996),MM
428,9149467163,node,MM,combustion,18.0,gas,reciprocating_engine,generator,NULL,NULL,NULL,POINT (96.26846329999996 16.654221799999963),MM
429,9149467164,node,MM,combustion,18.0,gas,reciprocating_engine,generator,NULL,NULL,NULL,POINT (96.268601 16.65424569999996),MM
430,9149467165,node,MM,combustion,18.0,gas,reciprocating_engine,generator,NULL,NULL,NULL,POINT (96.26853209999996 16.65423379999996),MM
431,9149467166,node,MM,combustion,18.0,gas,reciprocating_engine,generator,NULL,NULL,NULL,POINT (96.26866979999996 16.65425769999996),MM
