name,country,fraction,y,x,source
Port of Nador,MA,0.2,35.2748795,-2.92229843,
Port of Tanger Med,MA,0.2,35.5324,-5.3036,
Port of Kenitra,MA,0.1,34.26101,-6.5802,
Port of Casablanca,MA,0.4,33.5999976,-7.6166642,
Port of Kenitra,MA,0.1,33.1267,-8.62028,
dummy port 1,NG,1.0,6.455,4.234,
dummy port 1,BJ,1.0,6.47,2.63,
dummy port 1,BR,1.0,-22.9068,-43.1729,
dummy port 1,,1.0,-21.05431,13.50664,
,BR,1.262258890201018e-05,-1.5290377,-52.5788111,
,BR,1.0673373524338442e-05,-1.374035,-48.4016623,
,BR,0.0363738683133075,-23.0063966,-44.316326,
,BR,0.0003690950283545,-10.9162061,-37.0774655,
,BR,0.0322187819626854,-12.7926188,-38.4903857,
,BR,0.0042049794248876,-19.8265461,-40.0636815,
,BR,0.0001947191038076,-1.45056,-48.4682453,
,BR,0.0005447469176602,-6.97324,-34.8351609,
,BR,1.7111690983920848e-05,1.827598,-61.125389,
,BR,0.0004825905166188,-4.0885957,-63.1431166,
,BR,0.0009875852540011,-19.0016365,-57.6534316,
,BR,0.0,-7.6307956,-72.6703869,
,BR,0.0002523284825691,-7.5099404,-63.0248674,
,BR,0.0009014275257453,-14.792599,-39.0453843,
,BR,0.0059632572810161,-28.241827,-48.6643444,
,BR,0.0418009986613039,-22.8629597,-43.775322,
,BR,0.0053224699341527,-4.2625218,-55.9878139,
,BR,0.0589959488053546,-26.9046787,-48.6552979,
,BR,0.0822916261464225,-2.557055,-44.3523473,
,BR,0.0015611351406401,0.0401529,-51.0569588,
,BR,0.0003280743383927,-5.1131698,-36.6350676,
,BR,0.0017005811714965,-9.6476843,-35.7339264,
,BR,0.051921908069445,-3.1316333,-59.9825041,
,BR,0.0004481044866242,-5.1904332,-37.3443872,
,BR,0.003985359512211,-5.805398,-35.2080905,
,BR,0.0,-1.7669992,-55.868285,
,BR,0.0689892581767278,-25.42711685,-48.71130068256013,
,BR,0.0280016846047853,-3.60441685,-38.89048344497465,
,BR,0.0093711074728945,-30.0324999,-51.2303767,
,BR,0.0043927269454681,-8.7494525,-63.8735438,
,BR,0.0435724936001034,-32.0334252,-52.0991297,
,BR,5.046512304651745e-07,-22.9110137,-43.2093727,
,BR,0.0443664314789124,-22.8818386,-43.0631796,
,BR,5.4426635205669074e-05,-0.0307068,-51.1789666,
,BR,0.0051919580625122,-2.438489,-54.699611,
,BR,0.2394253913515994,-23.9335988,-46.3286399,
,BR,0.0383006295334915,-8.3539067,-34.9567358,
,BR,0.0590632603950572,-26.2495087,-48.6308087,
,BR,0.0238757149353839,-21.6348588,-41.0487079,
,BR,0.0281699958363062,-23.8027866,-45.4070527,
,BR,0.0001269977760157,-18.9939882,-50.5463828,
,BR,3.39182973603332e-05,-2.4166306,-48.1522907,
,BR,0.0175337135818246,-1.5666293,-48.7643669,
,BR,0.0514073081279169,-20.3200917,-40.3376682,
,BR,1.7331328962634663e-05,-2.8833063,-52.0114889,
,BR,0.0072151534781335,-1.901072,-55.520812,
Port of Almeirim,BR,1.262258890201018e-05,-1.5290377,-52.5788111,https://web3.antaq.gov.br/ea/sense/index.html
Port of Ananindeua,BR,1.0673373524338442e-05,-1.374035,-48.4016623,https://web3.antaq.gov.br/ea/sense/index.html
Port of Angra dos Reis,BR,0.0363738683133075,-23.0063966,-44.316326,https://web3.antaq.gov.br/ea/sense/index.html
Port of Aracajú,BR,0.0003690950283545,-10.9162061,-37.0774655,https://web3.antaq.gov.br/ea/sense/index.html
Port of Aratu - Salvador,BR,0.0322187819626854,-12.7926188,-38.4903857,https://web3.antaq.gov.br/ea/sense/index.html
Port of Barra do Riacho,BR,0.0042049794248876,-19.8265461,-40.0636815,https://web3.antaq.gov.br/ea/sense/index.html
Port of Belém,BR,0.0001947191038076,-1.45056,-48.4682453,https://web3.antaq.gov.br/ea/sense/index.html
Port of Cabedelo,BR,0.0005447469176602,-6.97324,-34.8351609,https://web3.antaq.gov.br/ea/sense/index.html
Port of Caracaraí,BR,1.7111690983920848e-05,1.827598,-61.125389,https://web3.antaq.gov.br/ea/sense/index.html
Port of Coari,BR,0.0004825905166188,-4.0885957,-63.1431166,https://web3.antaq.gov.br/ea/sense/index.html
Port of Corumbá,BR,0.0009875852540011,-19.0016365,-57.6534316,https://web3.antaq.gov.br/ea/sense/index.html
Port of Cruzeiro do Sul,BR,0.0,-7.6307956,-72.6703869,https://web3.antaq.gov.br/ea/sense/index.html
Port of Humaitá,BR,0.0002523284825691,-7.5099404,-63.0248674,https://web3.antaq.gov.br/ea/sense/index.html
Port of Ilhéus,BR,0.0009014275257453,-14.792599,-39.0453843,https://web3.antaq.gov.br/ea/sense/index.html
Port of Imbituba,BR,0.0059632572810161,-28.241827,-48.6643444,https://web3.antaq.gov.br/ea/sense/index.html
Port of Itaguaí,BR,0.0418009986613039,-22.8629597,-43.775322,https://web3.antaq.gov.br/ea/sense/index.html
Port of Itaituba,BR,0.0053224699341527,-4.2625218,-55.9878139,https://web3.antaq.gov.br/ea/sense/index.html
Port of Itajaí,BR,0.0589959488053546,-26.9046787,-48.6552979,https://web3.antaq.gov.br/ea/sense/index.html
Port of Itaqui,BR,0.0822916261464225,-2.557055,-44.3523473,https://web3.antaq.gov.br/ea/sense/index.html
Port of Macapá,BR,0.0015611351406401,0.0401529,-51.0569588,https://web3.antaq.gov.br/ea/sense/index.html
Port of Macau,BR,0.0003280743383927,-5.1131698,-36.6350676,https://web3.antaq.gov.br/ea/sense/index.html
Port of Maceió,BR,0.0017005811714965,-9.6476843,-35.7339264,https://web3.antaq.gov.br/ea/sense/index.html
Port of Manaus,BR,0.051921908069445,-3.1316333,-59.9825041,https://web3.antaq.gov.br/ea/sense/index.html
Port of Mossoró,BR,0.0004481044866242,-5.1904332,-37.3443872,https://web3.antaq.gov.br/ea/sense/index.html
Port of Natal,BR,0.003985359512211,-5.805398,-35.2080905,https://web3.antaq.gov.br/ea/sense/index.html
Port of Oriximiná,BR,0.0,-1.7669992,-55.868285,https://web3.antaq.gov.br/ea/sense/index.html
Port of Paranaguá - Antonina,BR,0.0689892581767278,-25.42711685,-48.71130068256013,https://web3.antaq.gov.br/ea/sense/index.html
Port of Pecém - Fortaleza,BR,0.0280016846047853,-3.60441685,-38.89048344497465,https://web3.antaq.gov.br/ea/sense/index.html
Port of Porto Alegre,BR,0.0093711074728945,-30.0324999,-51.2303767,https://web3.antaq.gov.br/ea/sense/index.html
Port of Porto Velho,BR,0.0043927269454681,-8.7494525,-63.8735438,https://web3.antaq.gov.br/ea/sense/index.html
Port of Rio Grande,BR,0.0435724936001034,-32.0334252,-52.0991297,https://web3.antaq.gov.br/ea/sense/index.html
Port of Rio de Janeiro,BR,5.046512304651745e-07,-22.9110137,-43.2093727,https://web3.antaq.gov.br/ea/sense/index.html
Port of Rio de Janeiro -  Niterói,BR,0.0443664314789124,-22.8818386,-43.0631796,https://web3.antaq.gov.br/ea/sense/index.html
Port of Santana,BR,5.4426635205669074e-05,-0.0307068,-51.1789666,https://web3.antaq.gov.br/ea/sense/index.html
