"state","x","y","full_name"
"AL",-86.79113,32.806671,"Alabama"
"AZ",-111.431221,33.729759,"Arizona"
"AR",-92.373123,34.969704,"Arkansas"
"CA",-119.681564,36.116203,"California"
"CO",-105.311104,39.059811,"Colorado"
"CT",-72.755371,41.597782,"Connecticut"
"DE",-75.507141,39.318523,"Delaware"
"DC",-77.026817,38.897438,"District of Columbia"
"FL",-81.686783,27.766279,"Florida"
"GA",-83.643074,33.040619,"Georgia"
"ID",-114.478828,44.240459,"Idaho"
"IL",-88.986137,40.349457,"Illinois"
"IN",-86.258278,39.849426,"Indiana"
"IA",-93.210526,42.011539,"Iowa"
"KS",-96.726486,38.5266,"Kansas"
"KY",-84.670067,37.66814,"Kentucky"
"LA",-91.867805,31.169546,"Louisiana"
"ME",-69.381927,44.693947,"Maine"
"MD",-76.802101,39.063946,"Maryland"
"MA",-71.530106,42.230171,"Massachusetts"
"MI",-84.536095,43.326618,"Michigan"
"MN",-93.900192,45.694454,"Minnesota"
"MS",-89.678696,32.741646,"Mississippi"
"MO",-92.288368,38.456085,"Missouri"
"MT",-110.454353,46.921925,"Montana"
"NE",-98.268082,41.12537,"Nebraska"
"NV",-117.055374,38.313515,"Nevada"
"NH",-71.563896,43.452492,"New Hampshire"
"NJ",-74.521011,40.298904,"New Jersey"
"NM",-106.248482,34.840515,"New Mexico"
"NY",-74.948051,42.165726,"New York"
"NC",-79.806419,35.630066,"North Carolina"
"ND",-99.784012,47.528912,"North Dakota"
"OH",-82.764915,40.388783,"Ohio"
"OK",-96.928917,35.565342,"Oklahoma"
"OR",-122.070938,44.572021,"Oregon"
"PA",-77.209755,40.590752,"Pennsylvania"
"RI",-71.51178,41.680893,"Rhode Island"
"SC",-80.945007,33.856892,"South Carolina"
"SD",-99.438828,44.299782,"South Dakota"
"TN",-86.692345,35.747845,"Tennessee"
"TX",-97.563461,31.054487,"Texas"
"UT",-111.862434,40.150032,"Utah"
"VT",-72.710686,44.045876,"Vermont"
"VA",-78.169968,37.769337,"Virginia"
"WA",-121.490494,47.400902,"Washington"
"WV",-80.954453,38.491226,"West Virginia"
"WI",-89.616508,44.268543,"Wisconsin"
"WY",-107.30249,42.755966,"Wyoming"
