MWh/a,biogas,not included,solid biomass
AL0 0,501642.21500851616,10272864.087237468,1739038.1053937315
AT0 0,1321614.5268466729,38340983.5878998,33507688.395436887
BA0 0,456661.84734791575,26498248.868194867,2545210.11339845
BE0 0,10279347.836146673,20790559.27692446,11590606.830958275
BG0 0,1726539.9145346347,31311697.06103907,23467234.66851449
CH0 0,459520.98374506575,10137876.217041105,11863891.21126466
CZ0 0,12415079.555320993,39053476.65436547,34764145.22754427
DE0 0,28532136.888660233,157466197.39608932,164707594.42847002
DK0 0,8847986.174905613,3030814.6263509695,9199886.091632543
DK3 0,2006560.6573714416,1080331.61568202,1943584.202375581
EE6 0,2244081.3235460455,14786758.442104636,11320274.857100863
ES0 0,28347724.850297473,148426817.7629769,64529405.06351426
ES2 0,39448.58184063622,843160.1812581144,390773.7068551583
FI3 0,1037097.9998708196,53313955.373582244,46570624.71632038
FR0 0,71297279.51328647,271528794.2673944,125651020.70358343
GB4 0,5019487.300892634,1624796.7853817344,684653.2976935407
GB5 0,37955550.303891845,80900183.16125503,35639412.5023115
GR0 0,1930153.660348502,14751760.139773473,8706009.074319595
HR0 0,884721.7228613979,17107304.048814792,7673192.841359277
HU0 0,17026280.798018847,52189808.70794844,27783263.588564854
IE4 0,4998874.902515119,9104089.622167034,4967176.24694319
IT0 0,31977085.129439514,108483106.04542643,53169475.60253033
IT1 0,566740.4464949232,2165196.105580215,774559.7161287562
LT6 0,3928688.434994819,35430621.82410342,14120134.241061918
LU0 0,454130.3216816522,1227932.8999910725,1251276.3360955832
LV6 0,2192832.7037139283,21018534.51164581,20939325.633732546
ME0 0,80403.33149530449,1448536.9378167675,275795.0502478476
MK0 0,193561.97867037347,7099315.04706543,993518.3015226411
NL0 0,13354434.478772668,13784027.382157356,3600687.1912186854
NO3 0,3265.0923960611485,20338236.67566038,12304433.404237643
PL0 0,21718189.849144988,144565390.86957538,83190052.82601362
PT0 0,6067860.3530746745,16520482.423167756,18165165.06804432
RO0 0,6580912.917786284,136811145.0669647,63548580.79664011
RS0 0,2990038.5601472524,26959754.35546362,8772162.96298279
SE3 0,4696182.703813694,92252306.67286074,97103776.68435925
SI0 0,518316.14597289125,12695276.71246974,13547241.98747482
SK0 0,3688702.913946383,17426878.540761437,16594200.790428165
