0,EUR/km/MWh
BE,0.140625
BG,0.063541666666667
CZ,0.0875
DK,0.190625
DE,0.133333333333333
EE,0.086458333333333
IE,0.133333333333333
GR,0.111458333333333
ES,0.119791666666667
FR,0.142708333333333
IT,0.132291666666667
CY,0.109375
LV,0.08125
LT,0.073958333333333
LU,0.145833333333333
HU,0.072916666666667
MT,0.091666666666667
NL,0.145833333333333
AT,0.136458333333333
PL,0.078125
PT,0.092708333333333
RO,0.0625
SI,0.097916666666667
SK,0.083333333333333
FI,0.148958333333333
SE,0.161458333333333
GB,0.14375
HR,0.080208333333333
AL,0.055208333333333
BA,0.059375
MK,0.051041666666667
ME,0.060416666666667
RS,0.057291666666667
KO,0.058333333333333
UA,0.053125
TR,0.078125
MD,0.055208333333333
CH,0.177083333333333
NO,0.161458333333333
MA,0.1
NG,0.1
BJ,0.1
NA,0.1
BR,0.1
AE,0.1
QA,0.1
EG,0.1
