country,number cars,average fuel efficiency
AL,1302499.98708545,0.7961097757022
AT,4513000,0.753937904395316
BA,1742819.72001651,0.7961097757022
BE,5407000,0.647865181821123
BG,2923657,0.78903878502644
CH,4136000,0.7961097757022
CZ,4582000,0.73875351927409
DE,42928000,0.75529960852541
DK,2199500,0.726641421064199
EE,574000,0.856345365809167
ES,22277000,0.746464208795288
FI,2978729,0.65822510638464
FR,31550000,0.643437675567356
GB,28467000,0.755225991316031
GR,5180433,0.764612641323882
HR,1518000,0.695941232657344
HU,2967810,0.804096512240334
IE,1962460,0.745011534970623
IT,37743940,0.664489747829863
LT,1204958,0.71372453308545
LU,345600,2.02748318494524
LV,612320,0.862691822493498
ME,292646.039269112,0.7961097757022
MK,928813.506172582,0.7961097757022
NL,7735547,0.6962154496301
NO,2286691.12838126,0.7961097757022
PL,18125000,0.798957151792151
PT,4712200,0.665774889926279
RO,4335000,0.8115701112415
RS,3246119.91250815,0.7961097757022
SE,4400550,0.872494142652663
SI,1117500,0.819757485159916
SK,1749300,0.684798960329288
MA,22277000,0.746464208795288
NG,22277000,0.746464208795288
BJ,1117500,0.819757485159916
NA,1117500,0.819757485159916
BR,31550000,0.643437675567356
