,project_status,length,build_year,underground,p_nom,tags,x0,y0,x1,y1
Plentong - Woodlands,in_planning,10.52,2030,True,525,Plentong - Woodlands,103.8226642,1.5242266,103.786216,1.436897
Khlong Ngae – Gurun,existing,110,2002,True,300,Khlong Ngae – Gurun,100.452521,6.7909857,100.4762517,5.8186842
Khlong Ngae – Gurun 2,under_consideration,110,2040,True,663,Khlong Ngae – Gurun 2,100.452521,6.7909857,100.4762517,5.8186842
Peninsular MY – Sarawak,in_planning,678,2030,True,1600,Peninsular MY – Sarawak,103.7649059,1.4581986,110.345397,1.5597561
Telok Gong – Perawang,in_planning,193.63,2030,True,600,Telok Gong – Perawang,101.376,3.028,101.6024189,0.6653324
Kudat – Palawan,in_planning,331.27,2040,True,196,Kudat – Palawan,116.814,6.901,118.701,9.82
Peranap – Singapore,in_planning,303.06,2030,True,1600,Peranap – Singapore,101.6024189,0.6653324,103.782,1.297
Java – Kalimantan (Internal ID),under_consideration,1096,2040,True,5000,Java – Kalimantan (Internal ID),112.681,-7.32,114.628,-3.425
Sumatra – Java (Internal ID),in_planning,539.37,2031,True,2600,Sumatra – Java (Internal ID),105.253,-5.44,106.836,-6.62
Singapore – Vietnam,under_consideration,1050,2040,True,1200,Singapore – Vietnam,103.782,1.297,107.164,10.488
Singapore – Cambodia,under_consideration,1030,2040,True,1000,Singapore – Cambodia,103.782,1.297,103.541,10.619
