Atualizado em: 2023-03-15
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Altitude;Operação Diurna;Operação Noturna;Designação 1;Comprimento 1;Largura 1;Resistência 1;Superfície 1;Designação 2;Comprimento 2;Largura 2;Resistência 2;Superfície 2;Validade do Registro;Portaria de Registro;Link Portaria;LATGEOPOINT;LONGEOPOINT;_Comprimento1;_Largura1;_Comprimento2;_Largura2
SWZX;BA0322;Selma Nunes;MACAÚBAS;Bahia;042°33'09.0"W;13°05'39.0"S;579,0;VFR;VFR;06/24;1400,0000;22,00;20/F/A/X/T;Asfalto;;;;;;01/10/2030;PA2020-2432;https://pergamum.anac.gov.br/arquivos/PA2020-2432.pdf;-13.094167;-42.5525;1400,0000;22,00;;
SDXM;MG0474;Monte Cristo;MONTE BELO;Minas Gerais;046°24'03.0"W;21°21'47.0"S;911,0;VFR;VFR;06/24;799,0000;23,00;5700 Kg /   0.50 MPa;Grama;;;;;;01/10/2030;PA2020-2381;https://pergamum.anac.gov.br/arquivos/PA2020-2381.pdf;-21.363056;-46.400833;799,0000;23,00;;
SSLB;MS0300;Fazenda São Paulino;CORUMBÁ;Mato Grosso do Sul;055°55'30.0"W;19°01'32.0"S;120,0;VFR;VFR;07/25;560,0000;20,00;5000 Kg /   0.50 MPa;Grama;;;;;;25/02/2031;PA2021-4237;https://pergamum.anac.gov.br/arquivos/PA2021-4237.pdf;-19.025556;-55.925;560,0000;20,00;;
SNAO;RJ0025;Trimonte;CASIMIRO DE ABREU;Rio de Janeiro;042°03'04.0"W;22°30'45.0"S;11,0;VFR;Sem Operação;08/26;799,0000;18,00;18/F/B/W/T;Asfalto;;;;;;01/09/2031;PA2021-5782;https://pergamum.anac.gov.br/arquivos/PA2021-5782.pdf;-22.5125;-42.051111;799,0000;18,00;;
SIRI;BA0096;Barra Grande;MARAÚ;Bahia;038°56'24.0"W;13°54'22.0"S;10,0;;;11/29;1400,0000;30,00;24/R/C/W/T;Concreto;;;;;;07/01/2031;PA2021-3610;https://pergamum.anac.gov.br/arquivos/PA2021-3610.pdf;-13.906111;-38.94;1400,0000;30,00;;
SIFQ;RS0060;Condomínio Menega;FLORES DA CUNHA;Rio Grande do Sul;051°08'36.0"W;29°02'41.0"S;763,0;;;10/28;1022,0000;20,00;12/F/B/X/T;Asfalto;;;;;;06/05/2025;PA2015-1054;https://pergamum.anac.gov.br/arquivos/PA2015-1054.pdf;-29.044722;-51.143333;1022,0000;20,00;;
;PA0259;Fazenda Planura;SANTA MARIA DAS BARREIRAS;Pará;050°06'15.0"W;08°57'27.0"S;205,0;;;10/28;1200,0000;20,00;16/F/B/Y/U;Asfalto;;;;;;29/12/2030;PA2020-3518;https://pergamum.anac.gov.br/arquivos/PA2020-3518.pdf;-8.9575;-50.104167;1200,0000;20,00;;
SJOY;PR0058;Jorge Luiz Stocco;PALMEIRA;Paraná;049°47'58.0"W;25°24'04.0"S;1040,0;;;16/34;1500,0000;23,00;15/F/C/X/T;Asfalto;;;;;;19/05/2027;PA2017-1720;https://pergamum.anac.gov.br/arquivos/PA2017-1720.pdf;-25.401111;-49.799444;1500,0000;23,00;;
SDGF;MS0030;Usina Santa Luzia;NOVA ALVORADA DO SUL;Mato Grosso do Sul;054°14'01.0"W;21°33'09.0"S;407,0;;;05/23;1500,0000;23,00;10/F/B/X/T;Asfalto;;;;;;24/06/2032;PA2022-8346;https://pergamum.anac.gov.br/arquivos/PA2022-8346.pdf;-21.5525;-54.233611;1500,0000;23,00;;
SSCE;RN0011;Campos de Melo;SÃO JOSÉ DE MIPIBU;Rio Grande do Norte;035°17'30.0"W;06°00'41.0"S;64,0;;;12/30;1000,0000;22,00;21/F/A/X/T;Asfalto;;;;;;01/03/2027;PA2017-0583;https://pergamum.anac.gov.br/arquivos/PA2017-0583.pdf;-6.0113889;-35.291667;1000,0000;22,00;;
