Atualizado em: 2023-03-15
Código OACI;CIAD;Nome;Município;UF;Município Servido;UF Servido;LATGEOPOINT;LONGEOPOINT;Latitude;Longitude;Altitude;Operação Diurna;Operação Noturna;Designação 1;Comprimento 1;Largura 1;Resistência 1;Superfície 1;Designação 2;Comprimento 2;Largura 2;Resistência 2;Superfície 2;Situação;Validade do Registro;Portaria de Registro;Link Portaria
SBRB;AC0001;Plácido de Castro;RIO BRANCO;Acre;Rio Branco;Acre;-9.8683333;-67.898056;09°52'06.0"S;067°53'53.0"W;193,0;VFR / IFR - CAT I;VFR / IFR - CAT I;06/24;2158,0000;45,00;78/F/D/X/T;Asfalto;;;;;;Cadastrado;23/08/2028;PA2018-2577;https://pergamum.anac.gov.br/arquivos/PA2018-2577.pdf
SNGA;ES0007;Guarapari;GUARAPARI;Espírito Santo;Guarapari;Espírito Santo;-20.646389;-40.491667;20°38'47.0"S;040°29'30.0"W;9,0;;;06/24;1088,0000;28,00;13/F/C/X/T;Asfalto;;;;;;Cadastrado;06/11/2027;PA2017-3632;https://pergamum.anac.gov.br/arquivos/PA2017-3632.pdf
SBIZ;MA0002;Prefeito Renato Moreira;IMPERATRIZ;Maranhão;Imperatriz;Maranhão;-5.5305556;-47.458333;05°31'50.0"S;047°27'30.0"W;131,0;VFR / IFR Não Precisão;VFR / IFR Não Precisão;07/25;1798,0000;45,00;50/F/A/X/T;Asfalto;;;;;;Cadastrado;24/07/2028;PA2018-2252;https://pergamum.anac.gov.br/arquivos/PA2018-2252.pdf
SBPC;MG0018;Embaixador Walther Moreira Salles;POÇOS DE CALDAS;Minas Gerais;Poços de Caldas;Minas Gerais;-21.837778;-46.566111;21°50'16.0"S;046°33'58.0"W;1261,0;VFR / IFR Não Precisão;Sem Operação;09/27;1515,0000;30,00;14/F/C/Y/U;Asfalto;;;;;;Cadastrado;20/02/2029;PA2019-0534;https://pergamum.anac.gov.br/arquivos/PA2019-0534.pdf
SSCD;MS0007;Chapadão do Sul;CHAPADÃO DO SUL;Mato Grosso do Sul;Chapadão do Sul;Mato Grosso do Sul;-18.839167;-52.488056;18°50'21.0"S;052°29'17.0"W;817,0;VFR;VFR;05/23;2000,0000;30,00;30/F/C/X/T;Asfalto;;;;;;Cadastrado;01/10/2028;PA2018-2968;https://pergamum.anac.gov.br/arquivos/PA2018-2968.pdf
SBBE;PA0001;Aeroporto Internacional de Bélem;BELÉM;Pará;Belém;Pará;-1.3847222;-48.478889;01°23'05.0"S;048°28'44.0"W;17,0;;;02/20;1830,0000;45,00;50/F/A/X/T;Asfalto;06/24;2800,0000;45,00;65/F/A/X/T;Asfalto;Cadastrado;25/07/2026;PA2016-1883;https://pergamum.anac.gov.br/arquivos/PA2016-1883.pdf
SBKG;PB0003;Presidente João Suassuna;CAMPINA GRANDE;Paraíba;Campina Grande;Paraíba;-7.2691667;-35.895;07°16'09.0"S;035°53'42.0"W;502,0;;;15/33;1600,0000;42,00;50/F/A/X/T;Asfalto;;;;;;Cadastrado;15/03/2026;PA2016-0575;https://pergamum.anac.gov.br/arquivos/PA2016-0575.pdf
SSNG;RS0046;Montenegro;MONTENEGRO;Rio Grande do Sul;Montenegro;Rio Grande do Sul;-29.719722;-51.488889;29°43'11.0"S;051°29'20.0"W;24,0;VFR;Sem Operação;13/31;920,0000;23,00;5700 Kg /   0.50 MPa;Grama;;;;;;Cadastrado;;;
SIMK;SP0011;Tenente Lund Pressoto;FRANCA;São Paulo;Franca;São Paulo;-20.590278;-47.3825;20°35'25.0"S;047°22'57.0"W;1003,0;VFR;VFR;05/23;2000,0000;30,00;26/F/B/X/T;Asfalto;;;;;;Cadastrado;08/01/2026;PA2016-0034;https://pergamum.anac.gov.br/arquivos/PA2016-0034.pdf
SBML;SP0014;Frank Miloye Milenkovich;MARÍLIA;São Paulo;Marília;São Paulo;-22.195556;-49.926944;22°11'44.0"S;049°55'37.0"W;650,0;;;03/21;1700,0000;35,00;35/F/B/X/T;Asfalto;;;;;;Cadastrado;10/05/2027;PA2017-1580;https://pergamum.anac.gov.br/arquivos/PA2017-1580.pdf
SNWC;CE0011;Camocim;CAMOCIM;Ceará;Camocim;Ceará;-2.8958333;-40.858889;02°53'45.0"S;040°51'32.0"W;14,0;VFR;VFR;14/32;1200,0000;30,00;14/F/B/Y/U;Asfalto;;;;;;Cadastrado;07/05/2030;PA2020-1190;https://pergamum.anac.gov.br/arquivos/PA2020-1190.pdf
SSKM;PR0017;Campo Mourão;CAMPO MOURÃO;Paraná;Campo Mourão;Paraná;-24.0025;-52.356944;24°00'09.0"S;052°21'25.0"W;574,0;VFR;VFR;02/20;1370,0000;30,00;14/F/C/Y/U;Asfalto;;;;;;Cadastrado;04/03/2030;PA2020-0578;https://pergamum.anac.gov.br/arquivos/PA2020-0578.pdf
SBJP;PB0001;Presidente Castro Pinto;BAYEUX;Paraíba;João Pessoa;Paraíba;-7.1483333;-34.950278;07°08'54.0"S;034°57'01.0"W;66,0;;;16/34;2515,0000;45,00;52/F/B/X/T;Asfalto;;;;;;Cadastrado;;;
SN6L;CE0164;Dr. Luciano de Arruda Coelho;SOBRAL;Ceará;Sobral;Ceará;-3.6147222;-40.232222;03°36'53.0"S;040°13'56.0"W;91,0;VFR;VFR;10/28;1800,0000;30,00;46/F/A/X/T;Asfalto;;;;;;Cadastrado;;;
