airport_id,name,federal_state,fuel_consumption_l,fraction,country,y,x
SBAE,AREALVA,SP,1077726.0,0.00025176979729572385,BR,-22.15705835,-49.07515943787047
SBAQ,ARARAQUARA,SP,4268.0,9.970562971090514e-07,BR,-21.812670400000002,-48.13305436466936
SBAR,ARACAJU,SE,24723305.0,0.005775662356044446,BR,-10.98281225,-37.07602527743482
SBAU,ARAÇATUBA,SP,978042.0,0.00022848241212210187,BR,-21.140815,-50.425139094792286
SBAX,ARAXÁ,MG,34524.0,8.065222961900864e-06,BR,-19.563132000000003,-46.96040575380038
SBBE,BELÉM,PA,84702890.0,0.019787617117580904,BR,-1.3798578,-48.47964610194296
SBBG,BAGÉ,RS,18762.0,4.3830295797469594e-06,BR,-31.390997249999998,-54.112838163262815
SBBH,BELO HORIZONTE,MG,299657.0,7.000349082071392e-05,BR,-19.850977,-43.94919201268867
SBBR,BRASÍLIA,DF,336776331.0,0.07867501441912658,BR,-15.87174755,-47.91172169662855
SBBV,BOA VISTA,RR,9713680.0,0.002269232851945232,BR,2.8467389,-60.69088998008712
SBBW,BARRA DO GARÇAS,MT,179216.0,4.1867019995945584e-05,BR,-15.8606725,-52.39006674230171
SBCA,CASCAVEL,PR,2976859.0,0.000695430180776887,BR,-25.000130749999997,-53.501257778932384
SBCB,CABO FRIO,RJ,1014438.0,0.00023698495687130082,BR,-22.923360950000003,-42.076586063102596
SBCF,CONFINS,MG,170374531.0,0.03980154615757996,BR,-19.63339785,-43.96836942393943
SBCG,CAMPO GRANDE,MS,25869352.0,0.006043392763292088,BR,-20.471576849999998,-54.68224625125994
SBCH,CHAPECÓ,SC,6277196.0,0.0014664287253954426,BR,-27.1342038,-52.6568659851302
SBCJ,PARAUAPEBAS,PA,4077374.0,0.0009525237634415935,BR,-6.11655575,-49.99774268663904
SBCN,CALDAS NOVAS,GO,1832763.0,0.00042815555066974607,BR,-17.7247899,-48.6081742294032
SBCP,CAMPOS DOS GOYTACAZES,RJ,153230.0,3.579637685239455e-05,BR,-21.698799450000003,-41.303194297296535
SBCR,CORUMBÁ,MS,640423.0,0.00014961054005704544,BR,-19.0125785,-57.66975905679873
SBCT,SÃO JOSÉ DOS PINHAIS,PR,77666290.0,0.018143782454919807,BR,-25.53281285,-49.16736187564199
SBCX,CAXIAS DO SUL,RS,3319841.0,0.0007755549143511739,BR,-29.19705975,-51.1861647969846
SBCY,VÁRZEA GRANDE,MT,57680558.0,0.013474874314588535,BR,-15.651851449999999,-56.11979295012485
SBCZ,CRUZEIRO DO SUL,AC,1092309.0,0.0002551765620522237,BR,-7.598823149999999,-72.77471470435958
SBDB,BONITO,MS,721006.0,0.0001684357011605925,BR,-21.24942965,-56.45190863172819
SBDN,PRESIDENTE PRUDENTE,SP,3336416.0,0.0007794270343428755,BR,-22.1751078,-51.42479089935418
SBDO,DOURADOS,MS,1270693.0,0.00029684921680937017,BR,-22.20140635,-54.92640220192091
SBEG,MANAUS,AM,110457254.0,0.025804147296643383,BR,-3.03553825,-60.04575303314657
SBFE,FEIRA DE SANTANA,BA,102569.0,2.396135598364065e-05,BR,-12.2001342,-38.90841809405157
SBFI,FOZ DO IGUAÇU,PR,35346265.0,0.008257313987238816,BR,-25.5930616,-54.49060873125
SBFL,FLORIANÓPOLIS,SC,48388122.0,0.011304049143716266,BR,-27.670113450000002,-48.54468648648172
SBFN,FERNANDO DE NORONHA,PE,3904399.0,0.0009121147163487074,BR,-3.8546858,-32.4227495764598
SBFZ,FORTALEZA,CE,178589911.0,0.04172075805124064,BR,-3.7761177999999997,-38.53554028983212
SBGL,RIO DE JANEIRO,RJ,211200490.0,0.04933898278046327,BR,-22.811305750000002,-43.25747587604714
SBGO,GOIÂNIA,GO,54360593.0,0.012699290432341194,BR,-16.634240650000002,-49.2155620047253
SBGP,GAVIÃO PEIXOTO,SP,15025.0,3.5100212896118783e-06,BR,-21.77340315,-48.40543622706696
SBGR,GUARULHOS,SP,1103386604.0,0.2577644240074909,BR,-23.43779495,-46.481320528800595
SBGV,GOVERNADOR VALADARES,MG,324235.0,7.574520817552795e-05,BR,-18.8963614,-41.98338512174777
SBHT,ALTAMIRA,PA,1469782.0,0.000343358809390238,BR,-3.2537426,-52.252991503644964
SBIH,ITAITUBA,PA,280401.0,6.550505688042998e-05,BR,-4.2418982,-56.003222084480875
SBIL,ILHÉUS,BA,10935987.0,0.0025547785153356897,BR,-14.81669225,-39.03309799706171
SBIP,SANTANA DO PARAÍSO,MG,549668.0,0.00012840907701952626,BR,-19.4712386,-42.48616461571429
SBIZ,IMPERATRIZ,MA,7145808.0,0.0016693469691500084,BR,-5.5301267,-47.45800807097166
SBJA,JAGUARUNA,SC,2047969.0,0.00047843026891614967,BR,-28.66726125,-49.05437795338313
SBJD,JUNDIAÍ,SP,6548.0,1.5296918072797724e-06,BR,-23.18119415,-46.942913735809945
