port,country,federal_state,municipality,freight_volume_t,gross_container_throughput,fraction,y,x
Almeirim,BR,PA,Almeirim,2201.1,0.0,1.2622588902010179e-05,-1.5290377,-52.5788111
Ananindeua,BR,PA,Ananindeua,1861.2,0.0,1.0673373524338442e-05,-1.374035,-48.4016623
Angra dos Reis,BR,RJ,Angra dos Reis,6342797.2,0.0,0.03637386831330754,-23.0063966,-44.316326
Aracajú,BR,SE,Barra dos Coqueiros,64362.0,0.0,0.0003690950283545405,-10.9162061,-37.0774655
Aratu - Salvador,BR,BA,Candeias,2974395.3,15676.0,0.03221878196268543,-12.7926188,-38.4903857
Barra do Riacho,BR,ES,Aracruz,733255.2999999999,0.0,0.004204979424887622,-19.8265461,-40.0636815
Belém,BR,PA,Belém,33954.7,0.0,0.00019471910380768024,-1.45056,-48.4682453
Cabedelo,BR,PB,Cabedelo,94991.8,0.0,0.0005447469176602474,-6.97324,-34.8351609
Caracaraí,BR,RR,Caracaraí,2983.9,0.0,1.7111690983920848e-05,1.827598,-61.125389
Coari,BR,AM,Coari,84153.1,0.0,0.00048259051661885097,-4.0885957,-63.1431166
Corumbá,BR,MS,Corumbá,172213.0,0.0,0.0009875852540011261,-19.0016365,-57.6534316
Cruzeiro do Sul,BR,AC,Cruzeiro do Sul,0.0,0.0,0.0,-7.6307956,-72.6703869
Humaitá,BR,AM,Humaitá,44000.5,0.0,0.000252328482569124,-7.5099404,-63.0248674
Ilhéus,BR,BA,Belmonte,157189.0,0.0,0.0009014275257453446,-14.792599,-39.0453843
Imbituba,BR,SC,Imbituba,514497.5,3115.0,0.005963257281016102,-28.241827,-48.6643444
Itaguaí,BR,RJ,Itaguaí,6476079.4,4821.0,0.04180099866130398,-22.8629597,-43.775322
Itaituba,BR,PA,Itaituba,928120.9,0.0,0.005322469934152787,-4.2625218,-55.9878139
Itajaí,BR,SC,Itajaí,1143580.7,54217.0,0.0589959488053546,-26.9046787,-48.6552979
Itaqui,BR,MA,São Luís,14349837.4,0.0,0.08229162614642252,-2.557055,-44.3523473
Macapá,BR,AP,Santana,272227.4,0.0,0.0015611351406401735,0.0401529,-51.0569588
Macau,BR,RN,Macau,57208.9,0.0,0.00032807433839271736,-5.1131698,-36.6350676
Maceió,BR,AL,Maceió,296543.7,0.0,0.0017005811714965408,-9.6476843,-35.7339264
Manaus,BR,AM,Itacoatiara,2508503.0999999996,38810.0,0.05192190806944503,-3.1316333,-59.9825041
Mossoró,BR,RN,Mossoró,78139.5,0.0,0.00044810448662424443,-5.1904332,-37.3443872
Natal,BR,RN,Guamaré,264886.4,2550.0,0.003985359512211014,-5.805398,-35.2080905
Oriximiná,BR,PA,Oriximiná,0.0,0.0,0.0,-1.7669992,-55.868285
Paranaguá - Antonina,BR,PR,Antonina,4177252.0,46562.0,0.06898925817672782,-25.427116849999997,-48.71130068256013
Pecém - Fortaleza,BR,CE,Fortaleza,1615338.1,19374.0,0.028001684604785325,-3.60441685,-38.890483700615675
Porto Alegre,BR,RS,Porto Alegre,1281285.9000000001,2092.0,0.009371107472894597,-30.0324999,-51.2303767
Porto Velho,BR,RO,Porto Velho,654850.2,659.0,0.004392726945468196,-8.7494525,-63.8735438
Rio Grande,BR,RS,Pelotas,2959034.1999999997,27506.0,0.04357249360010344,-32.0334252,-52.0991297
Rio de Janeiro,BR,RJ,Rio de Janeiro,88.0,0.0,5.046512304651745e-07,-22.9110137,-43.2093727
Rio de Janeiro -  Niterói,BR,RJ,Duque de Caxias,2254032.2,32507.0,0.04436643147891241,-22.8818386,-43.0631796
Santana,BR,AP,Santana,9490.8,0.0,5.4426635205669074e-05,-0.0307068,-51.1789666
Santarém,BR,PA,Santarém,895917.8,56.0,0.0051919580625122705,-2.438489,-54.699611
Santos,BR,SP,Cubatão,9918240.0,188741.0,0.23942539135159943,-23.9335988,-46.3286399
Suape - Recife,BR,PE,Ipojuca,2415334.1,25279.0,0.038300629533491545,-8.3539067,-34.9567358
São Francisco do Sul,BR,SC,Itapoá,3091317.1999999997,42738.0,0.05906326039505725,-26.2495087,-48.6308087
São João da Barra,BR,RJ,São João da Barra,4163396.0,0.0,0.023875714935383933,-21.6348588,-41.0487079
São Sebastião,BR,SP,São Sebastião,4912223.5,0.0,0.02816999583630621,-23.8027866,-45.4070527
São Simão,BR,GO,São Simão,22145.6,0.0,0.00012699777601579056,-18.9939882,-50.5463828
Tomé Açu,BR,PA,Acará,5914.6,0.0,3.39182973603332e-05,-2.4166306,-48.1522907
Vila do Conde - Belém,BR,PA,Barcarena,2862525.4,1156.0,0.017533713581824678,-1.5666293,-48.7643669
Vitória,BR,ES,Anchieta,7091374.6,11105.0,0.05140730812791696,-20.3200917,-40.3376682
Vitória do Xingu,BR,PA,Vitória do Xingu,3022.2,0.0,1.7331328962634663e-05,-2.8833063,-52.0114889
Óbidos,BR,PA,Juruti,1258163.0,0.0,0.007215153478133584,-1.901072,-55.520812
