ANO;GRANDE REGIÃO;UF;MUNICÍPIO;CÓDIGO IBGE;PRODUTO;VENDAS
1990;REGIÃO SUDESTE;SP;SAO JOSE DOS CAMPOS;3549904;QUEROSENE DE AVIAÇÃO;4693836
1990;REGIÃO SUDESTE;SP;SAO JOSE DO RIO PRETO;3549805;QUEROSENE DE AVIAÇÃO;655211
1990;REGIÃO SUDESTE;SP;SAO JOAO DO PAU D'ALHO;3549300;QUEROSENE DE AVIAÇÃO;920
1990;REGIÃO SUDESTE;SP;SOROCABA;3552205;QUEROSENE DE AVIAÇÃO;307106
1990;REGIÃO SUDESTE;SP;SAO SEBASTIAO;3550704;QUEROSENE DE AVIAÇÃO;202037
1990;REGIÃO SUDESTE;SP;SAO PAULO;3550308;QUEROSENE DE AVIAÇÃO;107845150
1990;REGIÃO SUDESTE;SP;SANTO ANDRE;3547809;QUEROSENE DE AVIAÇÃO;1497
1990;REGIÃO SUDESTE;SP;RIBEIRAO PRETO;3543402;QUEROSENE DE AVIAÇÃO;1174526
1990;REGIÃO SUDESTE;SP;PRESIDENTE PRUDENTE;3541406;QUEROSENE DE AVIAÇÃO;326016
1990;REGIÃO SUDESTE;SP;SAO CARLOS;3548906;QUEROSENE DE AVIAÇÃO;10784
1990;REGIÃO SUDESTE;SP;SAO CAETANO DO SUL;3548807;QUEROSENE DE AVIAÇÃO;81872
1990;REGIÃO SUDESTE;SP;SAO BERNARDO DO CAMPO;3548708;QUEROSENE DE AVIAÇÃO;181773
1990;REGIÃO SUL;PR;LONDRINA;4113700;QUEROSENE DE AVIAÇÃO;2630656
1990;REGIÃO SUL;PR;FOZ DO IGUACU;4108304;QUEROSENE DE AVIAÇÃO;15751524
1990;REGIÃO SUL;PR;CURITIBA;4106902;QUEROSENE DE AVIAÇÃO;865809
1990;REGIÃO SUL;PR;SAO JOSE DOS PINHAIS;4125506;QUEROSENE DE AVIAÇÃO;28924935
1990;REGIÃO SUL;PR;PONTA GROSSA;4119905;QUEROSENE DE AVIAÇÃO;36366
1990;REGIÃO SUL;PR;MARINGA;4115200;QUEROSENE DE AVIAÇÃO;372821
1990;REGIÃO SUL;PR;ARAUCARIA;4101804;QUEROSENE DE AVIAÇÃO;5827045
1990;REGIÃO SUDESTE;SP;TEODORO SAMPAIO;3554300;QUEROSENE DE AVIAÇÃO;188521
1990;REGIÃO SUDESTE;SP;TAUBATE;3554102;QUEROSENE DE AVIAÇÃO;299992
1990;REGIÃO SUL;PR;CASCAVEL;4104808;QUEROSENE DE AVIAÇÃO;348544
1990;REGIÃO SUL;PR;CAPANEMA;4104501;QUEROSENE DE AVIAÇÃO;70780
1990;REGIÃO SUL;PR;CAMPO MOURAO;4104303;QUEROSENE DE AVIAÇÃO;2263
1990;REGIÃO SUDESTE;SP;PIRASSUNUNGA;3539301;QUEROSENE DE AVIAÇÃO;6040224
1990;REGIÃO SUDESTE;SP;CAMPINAS;3509502;QUEROSENE DE AVIAÇÃO;30690834
1990;REGIÃO SUDESTE;SP;BAURU;3506003;QUEROSENE DE AVIAÇÃO;760760
1990;REGIÃO SUDESTE;SP;BARUERI;3505708;QUEROSENE DE AVIAÇÃO;3044500
1990;REGIÃO SUDESTE;SP;CATANDUVA;3511102;QUEROSENE DE AVIAÇÃO;2717
1990;REGIÃO SUDESTE;SP;CASTILHO;3511003;QUEROSENE DE AVIAÇÃO;170325
1990;REGIÃO SUDESTE;SP;CAMPO LIMPO PAULISTA;3509601;QUEROSENE DE AVIAÇÃO;600
1990;REGIÃO SUDESTE;RJ;SAO PEDRO DA ALDEIA;3305208;QUEROSENE DE AVIAÇÃO;118703
1990;REGIÃO SUDESTE;RJ;RIO DE JANEIRO;3304557;QUEROSENE DE AVIAÇÃO;1512806727
1990;REGIÃO SUDESTE;RJ;PETROPOLIS;3303906;QUEROSENE DE AVIAÇÃO;1292806
1990;REGIÃO SUDESTE;SP;BARRETOS;3505500;QUEROSENE DE AVIAÇÃO;122533
1990;REGIÃO SUDESTE;SP;ARARAQUARA;3503208;QUEROSENE DE AVIAÇÃO;135313
1990;REGIÃO SUDESTE;SP;ARACATUBA;3502804;QUEROSENE DE AVIAÇÃO;210990
1990;REGIÃO SUDESTE;SP;OURINHOS;3534708;QUEROSENE DE AVIAÇÃO;1508
1990;REGIÃO SUDESTE;SP;OSASCO;3534401;QUEROSENE DE AVIAÇÃO;53889
1990;REGIÃO SUDESTE;SP;MATAO;3529302;QUEROSENE DE AVIAÇÃO;27313
1990;REGIÃO SUDESTE;SP;PIRACICABA;3538709;QUEROSENE DE AVIAÇÃO;1657
1990;REGIÃO SUDESTE;SP;PEDREGULHO;3537008;QUEROSENE DE AVIAÇÃO;49660
1990;REGIÃO SUDESTE;SP;PAULINIA;3536505;QUEROSENE DE AVIAÇÃO;2723004
1990;REGIÃO SUDESTE;SP;GUARUJA;3518701;QUEROSENE DE AVIAÇÃO;1177929
1990;REGIÃO SUDESTE;SP;GUARATINGUETA;3518404;QUEROSENE DE AVIAÇÃO;29462
1990;REGIÃO SUDESTE;SP;ESPIRITO SANTO DO PINH;3515186;QUEROSENE DE AVIAÇÃO;69693
1990;REGIÃO SUDESTE;SP;MARILIA;3529005;QUEROSENE DE AVIAÇÃO;281961
1990;REGIÃO SUDESTE;SP;LINS;3527108;QUEROSENE DE AVIAÇÃO;894
1990;REGIÃO SUDESTE;SP;GUARULHOS;3518800;QUEROSENE DE AVIAÇÃO;524109712
1990;REGIÃO CENTRO-OESTE;MT;CACERES;5102504;QUEROSENE DE AVIAÇÃO;269290
1990;REGIÃO CENTRO-OESTE;MT;BARRA DO GARCAS;5101803;QUEROSENE DE AVIAÇÃO;201374
1990;REGIÃO CENTRO-OESTE;MT;ALTA FLORESTA;5100250;QUEROSENE DE AVIAÇÃO;2455705
1990;REGIÃO CENTRO-OESTE;MT;PORTO DOS GAUCHOS;5106802;QUEROSENE DE AVIAÇÃO;600
1990;REGIÃO CENTRO-OESTE;MT;MATUPA;5105606;QUEROSENE DE AVIAÇÃO;9000
1990;REGIÃO CENTRO-OESTE;MT;CUIABA;5103403;QUEROSENE DE AVIAÇÃO;176252
1990;REGIÃO CENTRO-OESTE;MS;CORUMBA;5003207;QUEROSENE DE AVIAÇÃO;3260546
1990;REGIÃO CENTRO-OESTE;MS;CAMPO GRANDE;5002704;QUEROSENE DE AVIAÇÃO;16890517
1990;REGIÃO CENTRO-OESTE;MS;AQUIDAUANA;5001102;QUEROSENE DE AVIAÇÃO;504
1990;REGIÃO CENTRO-OESTE;MT;ACORIZAL;5100102;QUEROSENE DE AVIAÇÃO;2678598
1990;REGIÃO CENTRO-OESTE;MS;PONTA PORA;5006606;QUEROSENE DE AVIAÇÃO;415525
1990;REGIÃO CENTRO-OESTE;MS;DOURADOS;5003702;QUEROSENE DE AVIAÇÃO;862
1990;REGIÃO CENTRO-OESTE;GO;ITUMBIARA;5211503;QUEROSENE DE AVIAÇÃO;12282
1990;REGIÃO CENTRO-OESTE;GO;GOIANIA;5208707;QUEROSENE DE AVIAÇÃO;20083936
1990;REGIÃO CENTRO-OESTE;GO;CALDAS NOVAS;5204508;QUEROSENE DE AVIAÇÃO;132736
1990;REGIÃO CENTRO-OESTE;DF;BRASILIA;5300108;QUEROSENE DE AVIAÇÃO;182133506
1990;REGIÃO CENTRO-OESTE;GO;SAO SIMAO;5220405;QUEROSENE DE AVIAÇÃO;70682
1990;REGIÃO CENTRO-OESTE;GO;SAO MIGUEL DO ARAGUAIA;5220207;QUEROSENE DE AVIAÇÃO;169573
1990;REGIÃO CENTRO-OESTE;MT;SAO FELIX DO ARAGUAIA;5107859;QUEROSENE DE AVIAÇÃO;260333
1990;REGIÃO CENTRO-OESTE;MT;SANTO ANTONIO DO LEVER;5107800;QUEROSENE DE AVIAÇÃO;383
1990;REGIÃO CENTRO-OESTE;MT;SANTA TEREZINHA;5107776;QUEROSENE DE AVIAÇÃO;110042
1990;REGIÃO CENTRO-OESTE;GO;ANAPOLIS;5201108;QUEROSENE DE AVIAÇÃO;791787
1990;REGIÃO CENTRO-OESTE;MT;VARZEA GRANDE;5108402;QUEROSENE DE AVIAÇÃO;30388225
1990;REGIÃO CENTRO-OESTE;MT;SINOP;5107909;QUEROSENE DE AVIAÇÃO;97574
1990;REGIÃO SUL;RS;URUGUAIANA;4322400;QUEROSENE DE AVIAÇÃO;47310
1990;REGIÃO SUL;SC;LAGES;4209300;QUEROSENE DE AVIAÇÃO;50871
1990;REGIÃO SUL;SC;JOINVILLE;4209102;QUEROSENE DE AVIAÇÃO;304103
