Parameter,Unit,Values,Description
renewables,--,"list of {csp, rooftop-solar, solar}","List of renewable technologies for which custom time series data is used. Leave empty ``[]`` to use default data."
elec_demand,bool,"{true, false}","If true, custom electricity demand data is used instead of the built-in dataset."
heat_demand,bool,"{true, false}","If true, custom heat demand data is used instead of the built-in dataset."
industry_demand,bool,"{true, false}","If true, custom industry demand data is used instead of the built-in dataset."
industry_database,bool,"{true, false}","If true, a custom industry database is used instead of the built-in dataset."
transport_demand,bool,"{true, false}","If true, custom transport demand data is used instead of the built-in dataset."
water_costs,bool,"{true, false}","If true, custom water cost data is used instead of the built-in dataset."
h2_underground,bool,"{true, false}","If true, custom hydrogen underground storage data is used instead of the built-in dataset."
add_existing,bool,"{true, false}","If true, existing capacities are added from custom data."
custom_sectors,bool,"{true, false}","If true, custom sector data is used."
gas_network,bool,"{true, false}","If true, a custom gas network CSV must be placed at ``resources/custom_data/pipelines.csv``. If false, the user can choose between greenfield or model built-in datasets."
export_ports,bool,"{true, false}","If true, a custom export ports CSV must be placed at ``data/custom/export_ports.csv``."
airports,bool,"{true, false}","If true, a custom airports CSV must be placed at ``data/custom/airports.csv``. Data format must match the airports.csv file in the data folder."
