,Unit,Values,Description
cutout,--,Should be a file name listed in the configuration ``atlite: cutouts:`` (e.g. 'europe-2013-era5'), reference an existing folder in the directory ``cutouts``, or set as `auto` which redirects to the cutout configuration `atlite: default:`. Source module must be ERA5.,Specifies the directory where the relevant weather data is stored.
resource,,,
-- method,,,"Specifies the Atlite method to calculate renewable potential."
-- hydrobasin,,,"Specifies the file location for hydrobasins. They are used to make the runoff calibration, defining a polygon to compute the available water surface using a surface integral."
-- flowspeed,,,
carriers,--,"Any subset of {'ror', 'PHS', 'hydro'}","Specifies the types of hydro power plants to build per-unit availability time series for. 'ror' stands for run-of-river plants, 'PHS' represents pumped-hydro storage, and 'hydro' stands for hydroelectric dams."
PHS_max_hours,h,float,"Maximum state of charge capacity of the pumped-hydro storage (PHS) in terms of hours at full output capacity ``p_nom``. Cf. `PyPSA documentation <https://pypsa.readthedocs.io/en/latest/components.html#storage-unit>`_."
hydro_max_hours,h,"Any of {float, 'energy_capacity_totals_by_country', 'estimate_by_large_installations'}","Maximum state of charge capacity of the pumped-hydro storage (PHS) in terms of hours at full output capacity ``p_nom`` or heuristically determined. Cf. `PyPSA documentation <https://pypsa.readthedocs.io/en/latest/components.html#storage-unit>`_."
hydro_max_hours_default,h,float,"(optional, default 6) Default value of max_hours for hydro plants with missing values"
clip_min_inflow,MW,float,"To avoid too small values in the inflow time series, values below this threshold are set to zero."
extendable,bool,"{True, False}","True: In nodes where there is no hydro generation, adds a zero-capacity hydro generator so that hydro is considered for capacity expansion. It is done in the ``add_electricity`` rule."
normalization,--,dict,"When specified, it describes how to normalize hydro time series to adhere to national statistics"
--method,--,str,"Data source used to rescale the hydro runoff; option 'hydro_capacities' to use the provided 'data/hydro_capacities.csv', 'eia' or 'irena' for using the eia or irena file"
--year,--,year,"(optional) Specify the desired year to be used for normalization, the default value corresponds to the cutout weather year"
multiplier,--,float,"Multiplier factor of the rescaling process (default 1.0)"
hydro_min_inflow_pu,hours,float,"Minimum energy-to-capacity ratio used to classify hydropower plants with missing technology information: values above this threshold are treated as reservoir plants, while smaller values are classified as run-of-river."
