Parameter,Unit,Values,Description
**enable**,  ,  ,Configuration for `sector` settings.
-- heat,bool,"{true, false}",Flag to include heating sector.
-- biomass,bool,"{true, false}",Flag to include biomass sector.
-- industry,bool,"{true, false}",Flag to include industry sector.
-- shipping,bool,"{true, false}",Flag to include shipping sector.
-- aviation,bool,"{true, false}",Flag to include aviation sector.
-- land_transport,bool,"{true, false}",Flag to include land transport sector.
-- rail_transport,bool,"{true, false}",Flag to include rail transport sector.
-- agriculture,bool,"{true, false}",Flag to include agriculture sector.
-- residential,bool,"{true, false}",Flag to include residential sector.
-- services,bool,"{true, false}",Flag to include service sector.
  ,  ,  ,
**gas**,  ,  ,Configuration for `sector.gas` settings.
-- spatial_gas,bool,"{true, false}",Add option to spatially resolve carrier representing gas (methane) supply.
-- network,bool,"{true, false}",Currently not available for gas carriers.
-- network_data,--,"One of {'GGIT', 'IGGIELGN'}",Specify which existing gas pipeline to use. Either from Global Gas Infrastructure Tracker (GGIT) or European Gas Infrastructure (IGGIELGN)
-- network_data_GGIT_status,--,"Any subset of {‘Construction’, ‘Operating’, ‘Idle’, ‘Shelved’, ‘Mothballed’, ‘Proposed’} ",List of status to be included when retrieving gas infrastructure data.
  ,  ,  ,
**hydrogen**,  ,  ,Configuration for `sector.hydrogen` settings.
-- network,bool,"{true, false}",Add option for new hydrogen pipelines.
-- H2_retrofit_capacity_per_CH4,MW/CH4,,Hydrogen transport capacity compared to natural gas capacity in retrofitted pipelines.
-- network_limit,GWkm,,Add maximum hydrogen network capacity.
-- network_routes,--,"One of {'gas', 'greenfield'}",Specify if either hydrogen network follows the topology of gas networks (gas) or closely resembles electrical transmission lines (greenfield).
-- gas_network_repurposing,bool,"{true, false}",Specify if gas networks can be repurposed for hydrogen networks.
-- underground_storage,bool,"{true, false}",Add options for storing hydrogen underground. Storage potential depends regionally.
-- hydrogen_colors,bool,"{true, false}",Specify if hydrogen carriers are disaggregated based on their source.
-- set_color_shares,bool,"{true, false}",Add option if hydogen sources must be derrived from specific sources.
-- blue_share,float,"[0, 1]",Share of hydrogen derrived from gas with carbon capture.
-- pink_share,float,"[0, 1]",Share of hydrogen derrived from nuclear.
-- production_technologies,--,"Any subset of {‘H2 Electrolysis’,  'SMR', 'SMR CC', 'Alkaline electrolyzer large', 'Alkaline electrolyzer medium', 'Alkaline electrolyzer small', 'PEM electrolyzer', 'SOEC', 'Solid biomass steam reforming', 'Biomass gasification', 'Biomass gasification CC', 'Natural gas steam reforming', 'Natural gas steam reforming CC', 'Coal gasification', 'Coal gasification CC', 'Heavy oil partial oxidation'}",List of hydrogen production technologies that can be added.
  ,  ,  ,
**coal**,  ,  ,
-- spatial_coal,bool,"{true, false}",Add option to spatially resolve carrier representing coal supply.
-- shift_to_elec,bool,"{true, false}",Specify if sectoral coal consumption can be electrified.
  ,  ,  ,
**lignite**,  ,  ,
-- spatial_lignite,bool,"{true, false}",Add option to spatially resolve carrier representing lignite supply.
  ,  ,  ,
**oil**,  ,  ,
-- spatial_oil,bool,"{true, false}",Add option to spatially resolve carrier representing oil supply.
