,Unit,Values,Description
version,--,0.x.x,"Version of PyPSA-Eur"
tutorial,bool,"{true, false}","Switch to retrieve the tutorial data set instead of the full data set."
logging,,,
-- level,--,"Any of {'INFO', 'WARNING', 'ERROR'}","Restrict console outputs to all infos, warning or errors only"
-- format,--,"","Custom format for log messages. See `LogRecord <https://docs.python.org/3/library/logging.html#logging.LogRecord>`_ attributes."
summary_dir,--,"e.g. 'results'","Directory into which results are written."
countries,--,"Subset of {'ZW', 'KZ', 'PS', 'LY', 'MO', 'TJ', 'AM', 'SE', 'UY', 'LV', 'CO', 'ER', 'MG', 'GE', 'RO', 'AO', 'GN', 'PE', 'SI', 'DZ', 'BZ', 'NA', 'AL', 'CA', 'FR', 'BR', 'ES', 'ZA', 'IS', 'IE', 'PK', 'NO', 'LK', 'GQ', 'IR', 'SR', 'LS', 'AU', 'IN', 'CH', 'CM', 'ZM', 'OM', 'BJ', 'TH', 'UZ', 'GH', 'MM', 'ID', 'RW', 'KH', 'GF', 'PY', 'UG', 'PL', 'MX', 'NI', 'HN', 'IT', 'QA', 'TR', 'SO', 'BY', 'MD', 'LI', 'DK', 'NZ', 'KE', 'GM', 'SK', 'NG', 'GB', 'BD', 'SD', 'DE', 'LU', 'KG', 'NL', 'AF', 'KP', 'CL', 'IQ', 'BO', 'CY', 'KR', 'ME', 'VN', 'SY', 'AE', 'BT', 'SA', 'CD', 'NC', 'SM', 'GL', 'DJ', 'JO', 'TZ', 'BE', 'GT', 'LR', 'HK', 'EC', 'GA', 'RS', 'CI', 'NP', 'EE', 'CR', 'GW', 'SN', 'CZ', 'HU', 'EG', 'AZ', 'YE', 'PG', 'IL', 'BF', 'KW', 'ET', 'US', 'PH', 'SV', 'NE', 'PT', 'ML', 'TD', 'BA', 'CG', 'BN', 'BG', 'UA', 'FI', 'VE', 'SS', 'BW', 'TW', 'PA', 'MC', 'LB', 'MR', 'MY', 'EH', 'JP', 'LT', 'RU', 'CF', 'AR', 'MK', 'SG', 'AT', 'BH', 'MW', 'TM', 'MT', 'SZ', 'MA', 'HR', 'AD', 'TG', 'TN', 'BI', 'SL', 'CN', 'MN', 'LA', 'GR', 'MZ'}","World countries defined by their `Two-letter country codes (ISO 3166-1) <https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2>`_ which should be included in the energy system model."
focus_weights,--,"Keys should be two-digit country codes (e.g. DE) and values should range between 0 and 1","Ratio of total clusters for particular countries. the remaining weight is distributed according to mean load. An example: ``focus_weights: DE: 0.6 FR: 0.2``."
enable,,,
-- prepare_links_p_nom,bool,"{true, false}","Switch to retrieve current HVDC projects from `Wikipedia <https://en.wikipedia.org/wiki/List_of_HVDC_projects>`_"
-- retrieve_databundle,bool,"{true, false}","Switch to retrieve databundle from zenodo via the rule :mod:`retrieve_databundle` or whether to keep a custom databundle located in the corresponding folder."
-- build_cutout,bool,"{true, false}","Switch to enable the building of cutouts via the rule :mod:`build_cutout`."
-- retrieve_cutout,bool,"{true, false}","Switch to enable the retrieval of cutouts from zenodo with :mod:`retrieve_cutout`."
-- build_natura_raster,bool,"{true, false}","Switch to enable the creation of the raster ``natura.tiff`` via the rule :mod:`build_natura_raster`."
-- retrieve_natura_raster,bool,"{true, false}","Switch to enable the retrieval of ``natura.tiff`` from zenodo with :mod:`retrieve_natura_raster`."
-- custom_busmap,bool,"{true, false}","Switch to enable the use of custom busmaps in rule :mod:`cluster_network`. If activated the rule looks for provided busmaps at ``data/custom_busmap_elec_s{simpl}_{clusters}.csv`` which should have the same format as ``resources/busmap_elec_s{simpl}_{clusters}.csv``, i.e. the index should contain the buses of ``networks/elec_s{simpl}.nc``."
