bundle,group,countries,zenodo_url,cutout_member,zip_size_gb,unzipped_size_gb,time_start,time_end,x_min,x_max,y_min,y_max
bundle_cutouts_tutorial_NGBJ,tutorial,"NG,BJ",https://zenodo.org/records/18032587/files/bundle_tutorial_cutouts_NGBJ.zip?download=1,cutout-2013-era5-tutorial.nc,0.01,0.02,01-03-2013,06-03-2013,0.3,15.0,1.5,14.4
bundle_cutouts_tutorial_BW,tutorial,BW,https://zenodo.org/records/18032587/files/bundle_tutorial_cutouts_BW.zip?download=1,cutout-2013-era5-tutorial.nc,0.01,0.01,01-03-2013,06-03-2013,19.5,29.7,-27.3,-17.4
bundle_cutouts_tutorial_MA,tutorial,MA,https://zenodo.org/records/18032587/files/bundle_tutorial_cutouts_MA.zip?download=1,cutout-2013-era5-tutorial.nc,0.01,0.01,01-03-2013,06-03-2013,-14.1,-0.6,27.3,36.6
bundle_cutouts_test_KZ,tutorial,KZ,https://zenodo.org/records/18032587/files/bundle_tutorial_cutouts_KZ.zip?download=1,cutout-2013-era5-tutorial.nc,0.01,0.01,01-01-2013,01-01-2013,45.9,87.9,40.2,55.8
bundle_cutouts_mainland_africa,default,Africa,https://zenodo.org/records/18032151/files/bundle_cutouts_africa.zip?download=1,cutout-2013-era5.nc,10.50,20.97,01-01-2013,31-12-2013,-19.5,67.5,-37.5,39.3
bundle_cutouts_northamerica,default,NorthAmerica,https://zenodo.org/records/18186603/files/bundle_cutouts_northamerica.zip?download=1,cutout-2013-era5.nc,29.50,29.54,01-01-2013,01-01-2014,-171.9,-47.1,1.5,73.8
bundle_cutouts_europe,default,Europe,https://zenodo.org/records/18034282/files/bundle_cutouts_europe.zip?download=1,cutout-2013-era5.nc,18.39,18.44,01-01-2013,31-12-2013,-31.8,60.0,1.5,73.8
bundle_cutouts_oceania,default,Oceania,https://zenodo.org/records/18038936/files/bundle_cutouts_oceania.zip?download=1,cutout-2013-era5.nc,22.61,22.64,01-01-2013,31-12-2013,79.8,179.7,-49.8,19.8
bundle_cutouts_asia,default,"KVR,WAS,FEAR,SEAR,CASR,SASR,ASEAN,MEAR",https://zenodo.org/records/18039581/files/bundle_cutouts_asia.zip?download=1,cutout-2013-era5.nc,31.17,31.20,01-01-2013,31-12-2013,24.9,158.1,-14.4,55.8
bundle_cutouts_southamerica,default,SouthAmerica,https://zenodo.org/records/19661490/files/bundle_cutouts_southamerica.zip?download=1,cutout-2013-era5.nc,18.61,18.66,01-01-2013,31-12-2013,-109.8,-25.5,-60.3,17.1
bundle_cutouts_westernasia,default,WAS,https://zenodo.org/records/18033563/files/bundle_cutouts_westasia.zip?download=1,cutout-2013-era5.nc,4.08,4.09,01-01-2013,31-12-2013,24.9,63.9,8.4,44.1
bundle_cutouts_asean,default,ASEAN,https://zenodo.org/records/20325289/files/bundle_cutouts_asean.zip?download=1,cutout-2013-era5.nc,7.34,7.35,01-01-2013,31-12-2013,89.7,141.9,-14.4,29.1
bundle_cutouts_northeurasia,default,"LT,LV,EE,BY,RU,KZ,MN,GE",https://zenodo.org/records/18920577/files/bundle_cutouts_northeurasia.zip?download=1,cutout-2013-era5.nc,21.09,21.12,01-01-2013,31-12-2013,19.2,178.8,39.0,78.0
bundle_cutouts_africa_zm,default,ZM,https://sandbox.zenodo.org/records/470328/files/bundle_cutouts_zm_2013.zip?download=1,cutout-2013-era5.nc,0.48,0.48,01-01-2013,31-12-2013,21.6,34.2,-18.6,-7.8
bundle_cutouts_bo,default,BO,https://sandbox.zenodo.org/records/470372/files/bundle_cutouts_bo.zip?download=1,cutout-2013-era5.nc,0.65,0.65,01-01-2013,31-12-2013,-70.2,-57.0,-23.4,-9.3
bundle_cutouts_co,default,CO,https://sandbox.zenodo.org/records/470372/files/bundle_cutouts_co.zip?download=1,cutout-2013-era5.nc,1.32,1.32,01-01-2013,31-12-2013,-85.2,-66.3,-4.8,15.6
