Generator,p_nom_max
MA001001 solar,9652.490489515885
MA001002 solar,6392.615047657853
MA001003 solar,3201.648774240314
MA001004 solar,7945.018546973256
MA001005 solar,7961.260708798527
MA002001 solar,3169.3391200104998
MA002002 solar,6354.963995386241
MA002008 solar,7982.756933955214
MA002009 solar,11157.568232627476
MA003002 solar,1626.8694387163039
MA003003 solar,9578.196329493609
MA003005 solar,1646.9035258457884
MA004002 solar,3141.8059432420487
MA004003 solar,4732.077265973041
MA004004 solar,3163.867090174216
MA004005 solar,11108.885637147441
MA004006 solar,1568.1237376069316
MA004007 solar,7879.4416772433015
MA004008 solar,7823.814310626376
MA004009 solar,9375.047995738856
MA005001 solar,28410.236874476574
MA005002 solar,8307.23191011315
MA005003 solar,3341.858550614207
MA005004 solar,1656.6502103564205
MA006001 solar,6471.5017656174
MA006002 solar,9720.12027083863
MA006003 solar,4849.708379451458
MA006004 solar,3222.750159818063
MA006005 solar,8035.8180467974435
MA006006 solar,8025.2673540085325
MA006007 solar,3217.496829838631
MA006008 solar,6419.145604078931
MA007001 solar,3119.4002602624905
MA007002 solar,1556.8779817916543
MA007003 solar,4659.259986408919
MA007004 solar,3212.199467029194
MA007005 solar,10982.338649060912
MA007006 solar,4698.769753684696
MA007007 solar,3108.0689841002913
MA007008 solar,7823.814310626372
MA008003 solar,1573.6822056351218
MA008004 solar,1556.877981791662
MA008005 solar,9469.626561782377
MA008006 solar,6250.089113883351
MA008007 solar,1568.123737606935
MA009004 solar,13085.613354921912
MA009005 solar,23060.686416228033
MA009006 solar,1646.90352584579
MA010001 solar,4659.259986408926
MA010002 solar,3108.0689841003004
MA010003 solar,1539.6896197343995
MA010004 solar,1551.191002308637
MA010007 solar,3113.7559635833068
MA011001 solar,6702.39006909215
MA001001 residential rural solar thermal collector,inf
MA001002 residential rural solar thermal collector,inf
MA001003 residential rural solar thermal collector,inf
MA001004 residential rural solar thermal collector,inf
MA001005 residential rural solar thermal collector,inf
MA002001 residential rural solar thermal collector,inf
MA002002 residential rural solar thermal collector,inf
MA002003 residential rural solar thermal collector,inf
MA002004 residential rural solar thermal collector,inf
MA002005 residential rural solar thermal collector,inf
MA002006 residential rural solar thermal collector,inf
MA002008 residential rural solar thermal collector,inf
MA002009 residential rural solar thermal collector,inf
MA003001 residential rural solar thermal collector,inf
MA003002 residential rural solar thermal collector,inf
MA003003 residential rural solar thermal collector,inf
MA003004 residential rural solar thermal collector,inf
MA003005 residential rural solar thermal collector,inf
MA004001 residential rural solar thermal collector,inf
MA004002 residential rural solar thermal collector,inf
MA004003 residential rural solar thermal collector,inf
MA004004 residential rural solar thermal collector,inf
MA004005 residential rural solar thermal collector,inf
MA004006 residential rural solar thermal collector,inf
MA004007 residential rural solar thermal collector,inf
